N06451L
33.0
32.0
37.0
37.0
32.0
30.0
35.0
33.0
38.0
28.0
37.0
32.0
35.0
33.0
37.0
40.0
37.0
30.0
32.0
35.0
32.0
37.0
28.0
32.0
35.0
33.0
37.0
35.0
30.0
32.0
33.0
41.0
38.0
33.0
43.0
37.0
37.0
33.0
43.0
39.2608695652174
32.0
33.0
30.0
40.0
35.0
35.0
35.0
35.0
32.0
34.3676470588235
36.1036468330134
36.6346948141349
38.9663418954827
38.5677966101695
41.0
35.0
32.0
43.0
45.0
41.0
35.0
41.0
40.0
32.0
37.0
33.0
38.0
37.0
28.0
43.0
32.0
80.0
38.0
35.0
33.0
30.0
43.0
37.0
33.0
37.0
38.0
35.0
37.0
33.0
80.0
28.0
19.0
32.0
41.0
41.0
38.0
38.0
38.0
35.6654170571696
32.0
30.0
32.0
35.0
35.0
24.0
32.0
25.0
27.0
33.0
28.0
38.0
32.0
33.0
28.0
32.0
57.0
57.0
28.0
30.0
35.0
35.0
35.0
35.0
33.0
35.0
37.0
30.0
33.0
37.0
32.0
33.0
33.0
28.0
32.0
37.0
41.0
32.0
33.0
27.0
32.0
35.0
49.0
27.0
33.0
35.0
37.0
28.0
32.0
33.0
35.0
32.0
32.0
33.0
35.0
33.0
33.0
33.0
33.0
30.0
37.0
37.0
35.0
33.0
35.0
33.0
37.0
32.0
38.0
38.0
33.0
32.0
33.0
32.0
33.0
35.0
28.0
33.0
35.0
26.144578313253
33.0
37.0
33.0
32.0
32.0
35.0
35.0
33.0
32.0
35.0
30.0
35.0
28.0
37.0
30.0
32.0
35.0
32.0
32.0
32.0
32.0
35.0
33.0
35.0
33.0
37.0
33.0
25.0
33.0
32.0
35.0
33.0
35.0
33.0
32.0
32.0
32.0
30.0
38.0
33.0
35.0
33.0
32.0
33.0
30.0
35.0
32.0
35.0
33.0
32.0
32.0
33.0
35.0
32.0
32.0
33.0
35.0
32.0
33.0
33.0
30.0
33.0
30.0
33.0
32.0
32.0
28.0
32.0
32.0
30.0
33.0
32.0
33.0
35.0
32.0
30.0
32.0
33.0
33.0
32.0
35.0
33.0
30.0
33.0
30.0
32.0
32.0
32.0
32.0
33.0
32.0
35.0
32.0
35.0
33.0
35.0
33.0
32.0
32.0
41.0
30.0
30.0
35.0
33.0
32.0
33.0
33.0
35.0
35.0
33.0
35.0
30.0
35.0
37.0
33.0
32.0
32.0
37.0
40.0
35.0
37.0
37.0
32.0
32.0
33.0
33.0
41.0
33.0
32.0
32.0
32.0
33.0
40.0
38.0
32.0
35.0
32.0
35.0
37.0
33.0
33.0
41.0
43.0
32.0
40.0
38.0
40.0
35.0
35.0
33.0
37.0
33.0
40.0
37.0
28.0
37.0
35.0
38.0
38.0
36.0777126099707
35.0
39.3586550435866
43.0
37.3918019696566
44.7432432432432
41.3246753246753
37.0
39.1593714927048
40.0
43.0
40.0
33.0
38.0
37.0
32.0
32.0
43.0
24.0
35.0
35.0
48.0
33.0
37.0
30.0
38.0
30.0
51.0
35.0
53.0
33.0
80.0
41.0
37.0
40.0
32.0
51.0
30.0
41.0
33.0
32.0
33.0
35.0
19.0
37.0
41.0
41.0
41.0
40.0128410914928
37.0
37.0
33.0
38.0
30.0
35.0
40.0
33.0
80.0
40.0
30.0
80.0
32.0
33.0
27.0
33.0
43.0
41.0
35.0
32.0
37.0
33.0
37.0
32.0
38.0
32.0
37.0
30.0
35.0
32.0
33.0
32.0
37.0
28.0
35.0
35.0
30.0
35.0
32.0
35.0
33.0
37.0
33.0
45.0
30.0
32.0
38.0
33.0
33.0
33.0
33.0
32.0
35.0
37.0
35.0
35.0
28.0
35.0
33.0
35.0
32.0
33.0
30.0
32.0
30.0
32.0
37.0
35.0
32.0
32.0
35.0
32.0
32.0
33.0
35.0
30.0
38.0
33.0
32.0
38.0
33.0
33.0
28.0
37.0
33.0
35.0
37.0
35.0
32.0
35.0
33.8491779842745
32.0
35.0
35.0
33.0
28.0
33.0
33.0
35.0
30.0
37.0
35.0
33.0
30.0
33.0
32.0
30.0
37.0
35.0
32.0
35.0
35.0
33.0
32.0
37.0
32.0
33.0
37.0
28.0
37.0
37.0
35.0
33.0
35.0
32.0
33.0
37.0
37.0
32.0
37.0
33.0
35.0
33.0
33.0
32.0
35.0
37.0
38.0
35.0
33.0
32.0
37.0
32.0
35.0
32.0
35.0
32.0
30.0
35.0
30.0
33.0
32.0
32.0
33.0
33.0
33.0
33.0
37.0
32.0
33.0
33.0
27.0
27.0
38.0
33.0
33.0
37.0
37.0
33.0
32.0
38.0
40.0
33.0
27.0
33.0
33.0
32.0
35.0
38.0
35.0
37.0
33.0
30.0
35.0
32.0
33.0
33.0
35.0
35.0
35.0
33.0
35.0
33.0
33.0
27.0
32.0
35.0
32.0
32.0
32.0
38.0
38.0
38.0
35.7821011673152
