N06551T
32.0
32.0
32.0
25.0
30.0
32.0
32.0
37.0
30.0
35.0
30.0
33.0
28.0
30.0
32.0
32.0
33.0
35.0
32.0
30.0
32.0
33.0
33.0
35.0
33.0
35.0
30.0
30.0
38.0
32.0
33.0
35.0
37.0
35.0
32.0
33.0
30.0
35.0
33.0
34.2753623188406
32.0
30.0
33.0
30.0
37.0
31.3718309859155
28.0
29.8769716088328
32.5590955806783
34.6536585365854
33.6134453781513
32.0
32.5340179717587
36.4137931034483
35.0
33.0
33.0
28.0
32.0
30.0
32.0
33.0
33.0
38.0
37.0
33.0
32.0
33.0
30.0
28.0
37.0
38.0
46.0
28.0
37.0
38.0
27.0
35.0
30.0
35.0
35.0
32.0
37.0
33.0
33.0
41.0
32.0
30.0
40.0
27.0
40.0
40.0
40.0
30.654028436019
33.0
28.0
30.0
41.0
37.0
32.0
33.0
28.0
37.0
32.0
28.0
22.0
24.0
40.0
41.0
33.0
35.0
35.0
33.0
32.0
32.0
38.0
27.0
28.0
35.0
28.0
37.0
32.0
32.0
37.0
32.0
27.0
30.0
27.0
30.0
32.0
32.0
32.0
25.0
28.0
35.0
33.0
30.0
32.0
35.0
28.0
27.0
30.0
27.0
30.0
32.0
30.0
30.0
32.0
30.0
32.0
32.0
32.0
27.0
33.0
32.0
35.0
35.0
30.0
30.0
35.0
32.0
30.0
30.0
32.0
33.0
32.0
30.0
35.0
30.0
30.0
30.0
32.0
35.0
33.0
35.0
30.0
30.0
33.0
32.0
33.0
33.0
30.0
32.0
32.0
28.0
38.0
33.0
28.0
30.0
30.0
30.0
33.0
32.0
32.0
35.0
33.0
33.0
30.0
30.0
32.0
28.0
37.0
32.0
33.0
32.0
33.0
30.0
33.0
33.0
32.0
32.0
35.0
32.0
30.0
30.0
35.0
33.0
33.0
33.0
33.0
32.0
33.0
32.0
37.0
33.0
30.0
35.0
32.0
32.0
30.0
28.0
35.0
32.0
30.0
32.0
32.0
28.0
30.0
35.0
35.0
33.0
33.0
32.0
30.0
30.0
