N06451R
43.0
46.0
45.0
43.0
46.0
40.0
41.0
41.0
45.0
45.0
43.0
38.0
40.0
43.0
43.0
46.0
45.0
40.0
41.0
40.0
45.0
41.0
46.0
41.0
43.0
54.0
41.0
43.0
48.0
45.0
48.0
45.0
49.0
43.0
48.0
49.0
43.0
49.0
46.0
45.6124432922878
56.0
49.0
43.0
45.0
37.0
39.5894245723173
43.0
43.0
57.0
46.6883488205861
44.1390728476821
46.2650602409639
44.1051004636785
44.3627760252366
46.0
45.0
49.0
48.0
51.0
43.0
43.0
49.0
46.0
49.0
48.0
40.0
51.0
54.0
57.0
51.0
45.0
45.0
41.0
35.0
43.0
48.0
43.0
46.0
37.0
51.0
40.0
38.0
48.0
40.0
45.0
41.0
48.0
46.0
43.0
46.0
56.0
56.0
56.0
51.2542372881356
43.0
46.0
41.0
48.0
38.0
48.0
48.0
41.0
45.0
46.0
48.0
40.0
46.0
45.0
46.0
48.0
48.0
48.0
48.0
45.0
48.0
41.0
41.0
45.0
38.0
46.0
49.0
41.0
41.0
43.0
43.0
48.0
41.0
45.0
41.0
43.0
41.0
43.0
45.0
41.0
33.0
41.0
45.0
41.0
37.0
48.0
43.0
40.0
38.0
40.0
38.0
37.0
43.0
41.0
37.0
40.0
43.0
38.0
41.0
37.0
32.0
40.0
33.0
43.0
40.0
40.0
41.0
40.0
37.0
41.0
40.0
41.0
41.0
40.0
38.0
37.0
38.0
38.0
37.0
38.6848816029144
41.0
40.0
35.0
38.0
33.0
37.0
33.0
37.0
37.0
40.0
38.0
40.0
41.0
38.0
37.0
37.0
35.0
30.0
38.0
38.0
38.0
33.0
35.0
37.0
37.0
32.0
35.0
37.0
35.0
33.0
40.0
37.0
37.0
37.0
32.0
41.0
35.0
35.0
33.0
35.0
30.0
30.0
35.0
35.0
40.0
28.0
11.0
25.0
20.0
9.0
19.0
9.0
11.0
8.0
11.0
4.0
8.0
14.0
17.0
33.0
37.0
28.0
24.0
37.0
35.0
38.0
35.0
28.0
40.0
37.0
38.0
38.0
40.0
40.0
30.0
38.0
35.0
38.0
33.0
46.0
35.0
33.0
37.0
41.0
35.0
37.0
40.0
48.0
35.0
43.0
41.0
48.0
38.0
37.0
41.0
33.0
43.0
37.0
40.0
40.0
35.0
41.0
37.0
38.0
43.0
40.0
40.0
41.0
41.0
37.0
41.0
46.0
45.0
40.0
46.0
48.0
45.0
51.0
41.0
46.0
43.0
46.0
40.0
43.0
37.0
41.0
41.0
37.0
38.0
40.0
38.0
37.0
41.0
43.0
43.0
43.0
46.0
45.0
45.0
45.0
41.0
45.0
43.0
45.0
45.0
51.0
43.0
38.0
45.0
48.0
48.0
41.0
40.0
40.0
48.0
41.0
48.0
41.0
41.0
42.697956929873
46.0
52.083638264506
57.0
49.133692722372
46.4578469520104
45.6900866217517
48.0
46.7673716012085
45.0
40.0
49.0
43.0
49.0
43.0
54.0
43.0
49.0
51.0
53.0
43.0
46.0
38.0
46.0
49.0
49.0
45.0
48.0
56.0
49.0
45.0
53.0
33.0
53.0
46.0
45.0
48.0
46.0
53.0
43.0
51.0
45.0
49.0
49.0
46.0
43.0
43.0
43.0
45.4382921947965
48.0
46.0
43.0
46.0
46.0
49.0
51.0
45.0
49.0
46.0
40.0
49.0
48.0
45.0
48.0
53.0
46.0
41.0
48.0
40.0
49.0
46.0
41.0
45.0
49.0
53.0
46.0
45.0
43.0
40.0
41.0
48.0
45.0
45.0
43.0
46.0
38.0
48.0
43.0
49.0
43.0
43.0
48.0
40.0
41.0
45.0
43.0
46.0
38.0
40.0
46.0
43.0
41.0
41.0
45.0
45.0
43.0
40.0
46.0
38.0
37.0
35.0
38.0
33.0
40.0
38.0
40.0
40.0
40.0
40.0
37.0
37.0
41.0
38.0
30.0
37.0
43.0
38.0
38.0
37.0
37.0
38.0
35.0
38.0
32.0
33.0
37.0
37.0
33.0
35.0
36.6116116116116
32.0
33.0
37.0
37.0
37.0
37.0
38.0
33.0
40.0
35.0
38.0
35.0
33.0
37.0
33.0
35.0
40.0
35.0
40.0
33.0
37.0
40.0
37.0
35.0
40.0
41.0
41.0
37.0
40.0
35.0
40.0
40.0
37.0
38.0
35.0
32.0
32.0
40.0
38.0
37.0
33.0
41.0
38.0
40.0
38.0
35.0
40.0
43.0
35.0
38.0
37.0
35.0
45.0
40.0
38.0
37.0
37.0
35.0
35.0
37.0
41.0
35.0
41.0
43.0
40.0
40.0
41.0
43.0
43.0
40.0
43.0
43.0
41.0
41.0
46.0
45.0
41.0
49.0
45.0
37.0
41.0
45.0
41.0
43.0
41.0
40.0
46.0
41.0
38.0
46.0
49.0
46.0
45.0
38.0
45.0
43.0
48.0
41.0
41.0
45.0
45.0
41.0
46.0
54.0
48.0
53.0
62.0
62.0
62.0
40.0
40.0
40.0
39.1674925668979
38.0
38.0
38.0
38.0
38.0
40.0
40.0
40.0
40.0
40.0
40.0
41.910447761194
45.0
45.0
45.4945054945055
46.0
42.4787363304982
40.3940886699507
46.0
50.1195652173913
53.0
46.0
51.0
48.4969325153374
49.0954356846473
42.7185628742515
40.8333333333333
41.7312791959609
61.0
49.6887417218543
41.0
38.0
53.0
80.0
38.0
38.0
48.0
44.1290322580645
36.4383561643836
56.0
48.6219081272085
74.9367088607595
48.0
49.0
53.0
41.0
48.0
38.0
0.0
80.0
53.0
33.0
45.0
43.0
49.0
33.0
80.0
43.0
41.0
61.0
45.0
45.0
40.0
49.0
57.0
41.0
41.0
40.0
43.0
41.0
43.0
51.0
38.0
46.0
49.0
45.0
41.0
45.0
40.0
41.0
43.0
43.0
43.0
43.0
40.0
20.0
32.0
27.0
30.0
27.0
17.0
22.0
27.0
28.0
14.0
12.0
16.0
22.0
11.0
12.0
11.0
12.0
9.0
9.0
12.0
11.0
11.0
9.86787204450626
11.0
12.0
17.0
23.10348468849
33.0
30.3397561934723
30.1847690387016
32.4362050163577
24.4976076555024
20.0
21.8508997429306
25.0
28.2308950689413
32.0
31.0500664599025
34.0774980330449
31.4628820960699
32.4362050163577
24.4976076555024
31.4629598236989
31.4757048590282
30.8917480035493
33.134328358209
39.0070487281643
38.9991518235793
34.4957799312285
33.0
43.0
37.0
37.0
32.0
35.0
38.0
37.0
33.0
35.0
38.0
35.0
37.0
33.8191902384914
34.0300362506473
37.0
34.9462272333044
33.0
35.8710764693491
38.3578685465478
37.0
36.2043010752688
37.6218787158145
37.2944849115505
36.0163599182004
39.9481161210624
40.0641985876311
36.0707762557078
36.6399132321041
31.6077308518253
