,cd
M_0038_0037,0.03139346591316396
M_0037_0038,0.009912426579819378
M_0037_0779_0039_U,0.0755641287381295
M_0191_0038,0.04562153335703252
M_0038_0191,0.14665334812862083
M_0039_0038,0.11879296923230494
M_0191_0852,0.059877177767605566
M_0852_0191,0.036092480384826306
M_0308_0011,0.05474309748833526
M_0011_0308,0.11076383092924103
M_0821_0190,0.09073488205589457
M_0323_0032,0.0022052573607173527
M_0821_0159,0.011633309622948751
M_0032_0323,0.03386680090529716
M_0015_0159,0.039586218374651774
M_0108_0478_0479,0.0
