,cd
M_0108_0478_0479,0.005090015292159867
M_0308_0011,0.007163540543257766
M_0011_0308,0.023412468928360453
M_0323_0032,0.004580841394292616
M_0032_0323,0.010613645729142173
M_0039_0038,0.030692254767293987
M_0191_0852,0.024760892362668784
M_0852_0191,0.013446293581562779
M_0015_0159,0.0
M_0038_0037,0.018551211473298322
M_0037_0038,0.006063349223851982
M_0037_0779_0039_U,0.019766341553178343
M_0191_0038,0.022679927408279357
M_0821_0159,0.005978855815771283
M_0038_0191,0.015585981649274798
M_0821_0190,0.03658559983803905
