,cd
M_0852_0191,0.023624242693480544
M_0191_0852,0.06075227708037695
M_0191_0038,0.026083585429353566
M_0038_0191,0.03668232196661565
M_0037_0779_0039_U,0.0
M_0037_0038,0.008356208945727863
M_0821_0190,0.060454753375665554
M_0038_0037,0.020790970112758357
M_0821_0159,0.01431492546837786
M_0308_0011,0.013292682006844277
M_0011_0308,0.041246374004231916
M_0015_0159,0.033936399952764096
M_0039_0038,0.07104774267912145
M_0323_0032,0.0047523749749977745
M_0032_0323,0.026965547511594135
M_0108_0478_0479,0.007816210742203736
