,N31111W
N06351L,0.02640924571619146
N06411H,0.02853401895868075
N06421A,0.0028913611774857646
N06421D,0.008633438716982236
N06421E,0.0
N06421F,0.02008705865094898
N06421G,0.02232965396938059
N06431Y,0.023808750718447638
N31111S,0.0334850322332533
N31111U,0.010489728369105186
N31111W,0.0
