,N06411H
N06351L,0.026469606148044528
N06411H,0.0
N06421A,0.00827298791617458
N06421D,0.033743160811822076
N06421E,0.014108388392047613
N06421F,0.04298897743188657
N06421G,0.0386106245707722
N06431Y,0.039572021881433085
N31111S,0.013232265235978466
N31111U,0.005086504513786397
N31111W,0.041258706521300245
