,N31111W
N06351L,0.01755897098837256
N06411H,0.01926919486128127
N06421A,0.022533979282268805
N06421D,0.035858013189291216
N06421E,0.0
N06421F,0.013428395673461789
N06421G,0.031037466874978353
N06431Y,0.01574496604570675
N31111S,0.010437117131604336
N31111U,0.011535317759495352
N31111W,0.0
