,cd
M_0038_0037,0.04023185013443195
M_0037_0038,0.11470355892023423
M_0037_0779_0039_U,0.053035996053493906
M_0191_0038,0.06377676153986335
M_0038_0191,0.08287196855069762
M_0039_0038,0.0888065407003332
M_0191_0852,0.06159414452763124
M_0852_0191,0.07931335103730586
M_0308_0011,0.06206101781873959
M_0011_0308,0.08625938337597144
M_0821_0190,0.08555626850741196
M_0323_0032,0.0008221889965476276
M_0821_0159,0.060273964094394915
M_0032_0323,0.07731922215450379
M_0015_0159,0.07784089108186497
M_0108_0478_0479,0.0
