,cd
M_0821_0159,0.085826392127782
M_0821_0190,0.0358180534021663
M_0015_0159,0.06892144401103939
M_0852_0191,0.0
M_0191_0852,0.06710915901182721
M_0191_0038,0.05004519465799233
M_0038_0191,0.10496206781423915
M_0011_0308,0.03074093174076186
M_0308_0011,0.04272011126861241
M_0037_0779_0039_U,0.06598864614015515
M_0037_0038,0.05440902158880493
M_0038_0037,0.04843874219249224
M_0039_0038,0.028513297301562088
M_0323_0032,0.00276430325932453
M_0032_0323,0.016334886231621687
M_0108_0478_0479,0.02931488220169216
