,N29131C
N06691U,0.05786991439110951
N06731X,0.021401056572373685
N06731Y,0.06745642838503832
N26151X,0.02405770823417109
N29121G,0.03573510729734839
N29131B,0.04402080552908998
N29131C,0.0
N29141A,0.023292057535165993
N29142H,0.04953711889883664
N29131F,0.0
