,N06691U
N06691U,0.0
N06731X,0.01219970087494373
N06731Y,0.08882359325806033
N26151X,0.029644745622538826
N29121G,0.02266554714983667
N29131B,0.03555300945947368
N29131C,0.02329001057802859
N29141A,0.024343860899893963
N29142H,0.06760815211111039
N29131F,0.019839804782161755
