,N31111W
N06351L,0.04030917837177992
N06411H,0.040314049645683685
N06421A,0.0017178365055335644
N06421D,0.008916620817518551
N06421E,0.0707256392847797
N06421F,0.023615916672534567
N06421G,0.0377599458345715
N06431Y,0.02371652528421208
N31111S,0.0501641580755515
N31111U,0.012559233967717333
N31111W,0.0
