,N06421D
N06351L,0.013274407954805672
N06411H,0.014945023893226807
N06421A,0.010840138837374218
N06421D,0.0
N06421E,0.004619934075807262
N06421F,0.036263648612804775
N06421G,0.005888185536044317
N06431Y,0.03390724545846204
N31111S,0.005141428353277513
N31111U,0.00025459475381589856
N31111W,0.004451555882280327
