,N06351L
N06351L,0.0
N06411H,0.09616492793859932
N06421A,0.008576769830021447
N06421D,0.021988221926719
N06421E,0.029370244704410697
N06421F,0.041766928045223646
N06421G,0.03217183381814269
N06431Y,0.05433794199364201
N31111S,0.021525756798936334
N31111U,0.0
N31111W,0.0208150792014216
