,N31111U
N06351L,0.007479563657802099
N06411H,0.011471793789856008
N06421A,0.019067511395015807
N06421D,0.019874379820673565
N06421E,0.0
N06421F,0.0
N06421G,0.021414847369337395
N06431Y,0.0
N31111S,0.0
N31111U,0.0
N31111W,0.009506166313150495
