,N06431Y
N06351L,0.03212154762266466
N06411H,0.03125472529899056
N06421A,0.0
N06421D,0.03181354916404487
N06421E,0.02225296409265642
N06421F,0.06360536016106919
N06421G,0.018605211518848714
N06431Y,0.0
N31111S,0.021777816899711026
N31111U,0.0
N31111W,0.021416427476154788
