,N06411H
N06351L,0.02693321836410196
N06411H,0.0
N06421A,0.008372485816618723
N06421D,0.03334990684170399
N06421E,0.014529211191554444
N06421F,0.041554142856983854
N06421G,0.037293967851347476
N06431Y,0.04676423460957534
N31111S,0.019004398318816996
N31111U,0.005710298475206655
N31111W,0.047982936582917635
