,N31111U
N06351L,0.007532934782424065
N06411H,0.013798083377684624
N06421A,0.017937429918312205
N06421D,0.018848382104343416
N06421E,0.0
N06421F,0.0
N06421G,0.02238501586999621
N06431Y,0.0
N31111S,0.0
N31111U,0.0
N31111W,0.008774178608200555
