,cd
M_0852_0191,0.018073766342693663
M_0191_0852,0.056816107542381304
M_0191_0038,0.014631091849738148
M_0038_0191,0.023802782541917034
M_0037_0779_0039_U,0.0
M_0037_0038,0.010621132799837856
M_0821_0190,0.034764016597627206
M_0038_0037,0.01423605773062585
M_0821_0159,0.016974691824072637
M_0308_0011,0.006394204245922252
M_0011_0308,0.025846336503241345
M_0015_0159,0.022908559765003104
M_0039_0038,0.04210261501197841
M_0323_0032,0.006017933868709281
M_0032_0323,0.024189180128009715
M_0108_0478_0479,0.006383427895921432
