,N31111W
N06351L,0.0382297755178953
N06411H,0.034176790786225424
N06421A,0.004288879120437944
N06421D,0.01055826197502962
N06421E,0.0
N06421F,0.02409726478718613
N06421G,0.02511992219739852
N06431Y,0.029391907604899344
N31111S,0.0376166346080044
N31111U,0.018195068544100763
N31111W,0.0
