,cd
M_0852_0191,0.02934689658714601
M_0191_0852,0.0642430751093956
M_0191_0038,0.03259966730386798
M_0038_0191,0.04664105482372093
M_0037_0779_0039_U,0.0
M_0037_0038,0.008304123324841269
M_0821_0190,0.06870154391688955
M_0038_0037,0.023109893659997653
M_0821_0159,0.015190454450295657
M_0308_0011,0.016843981088480658
M_0011_0308,0.051943588686478664
M_0015_0159,0.04107490446841045
M_0039_0038,0.08384886075685902
M_0323_0032,0.005348705913766316
M_0032_0323,0.02644157931392472
M_0108_0478_0479,0.0093129669103929
