unixtime,latitude,longitude,speed
1202497200570,37.6117032385,-122.0703713736,66.284
1202497203570,37.6109944650,-122.0698696330,66.339
1202497206570,37.6102894634,-122.0693655456,66.239
1202497209570,37.6095950230,-122.0688726060,65.849
1202497213564,37.6086961480,-122.0682280379,65.229
1202497216565,37.6080266857,-122.0677503534,64.915
1202497219571,37.6073486738,-122.0672688971,64.932
1202497222571,37.6066678959,-122.0667843395,65.106
1202497226570,37.6057564481,-122.0661319762,65.510
1202497230569,37.6048240455,-122.0654721530,66.068
1202497233569,37.6041225643,-122.0649696581,66.378
1202497236569,37.6034192391,-122.0644653192,66.553
1202497239570,37.6027136507,-122.0639655903,66.501
1202497242570,37.6020216411,-122.0634696333,66.176
1202497246572,37.6011109476,-122.0628223830,65.795
1202497250570,37.6001977396,-122.0621731210,65.675
1202497253571,37.5995128546,-122.0616829475,65.660
1202497257570,37.5985890016,-122.0610170055,65.962
1202497261569,37.5976643104,-122.0603644746,66.017
1202497264581,37.5969724683,-122.0598709483,66.191
1202497268569,37.5960388085,-122.0592037491,66.676
1202497272568,37.5950981079,-122.0585347058,67.016
1202497275568,37.5943926872,-122.0580334682,67.258
1202497278569,37.5936849195,-122.0575294646,67.566
1202497281569,37.5929660040,-122.0570164085,67.937
1202497285568,37.5920050191,-122.0563319425,68.028
1202497288568,37.5912895401,-122.0558193055,67.928
1202497291568,37.5905765757,-122.0553119491,67.725
1202497295568,37.5896325223,-122.0546403913,67.418
1202497298569,37.5889323822,-122.0541399080,67.067
1202497301575,37.5882332479,-122.0536427776,66.711
1202497305568,37.5873007616,-122.0529790987,66.415
1202497308568,37.5865986936,-122.0524762685,65.984
1202497311568,37.5859051752,-122.0519855921,65.160
1202497314569,37.5852337012,-122.0515065665,64.000
1202497317569,37.5845677593,-122.0510441371,62.884
1202497321566,37.5836864863,-122.0505005709,61.618
1202497324580,37.5830264955,-122.0501314320,60.712
1202497328565,37.5821537721,-122.0497014405,60.274
1202497331568,37.5814765984,-122.0494080740,60.553
1202497335568,37.5805446987,-122.0490531844,61.365
1202497338568,37.5798176527,-122.0487963630,62.374
1202497341568,37.5790590908,-122.0485385357,63.369
1202497344580,37.5782865310,-122.0482800379,63.802
1202497348568,37.5772833014,-122.0479233881,63.701
1202497352567,37.5763058042,-122.0475823286,63.022
1202497356564,37.5753508544,-122.0472545963,62.338
1202497359570,37.5746447631,-122.0470151254,61.820
1202497363566,37.5737020508,-122.0466899077,61.740
1202497367564,37.5727480230,-122.0463595770,61.912
1202497370564,37.5720272634,-122.0460833934,62.234
1202497373564,37.5713087669,-122.0457546553,62.566
1202497376567,37.5705970598,-122.0453759610,62.723
1202497380566,37.5696987716,-122.0448194029,62.311
1202497383567,37.5690557122,-122.0443386171,62.095
1202497387568,37.5682277481,-122.0436409916,61.937
1202497391565,37.5674530091,-122.0428795798,61.778
1202497394571,37.5668942716,-122.0422883205,61.858
1202497398567,37.5661310158,-122.0414695765,62.592
1202497401567,37.5655399242,-122.0408416884,63.258
1202497405567,37.5647418835,-122.0399945298,63.724
