unixtime,latitude,longitude,speed
1202497203361,37.6443231625,-122.0937796733,29.669
1202497207373,37.6438541952,-122.0934089419,31.445
1202497211388,37.6433941966,-122.0931095404,32.474
1202497215362,37.6429011732,-122.0927860829,34.195
1202497219354,37.6424023663,-122.0924576801,35.702
1202497223368,37.6418999553,-122.0921199733,37.153
1202497227359,37.6413732367,-122.0917269460,39.510
1202497231360,37.6408065364,-122.0912848846,42.457
1202497236370,37.6399991918,-122.0906547334,45.940
1202497240360,37.6393247841,-122.0901360614,48.879
1202497243363,37.6387866661,-122.0897317186,51.838
1202497247361,37.6379959177,-122.0891342567,55.060
1202497250364,37.6373704603,-122.0886932850,57.364
1202497253372,37.6367506188,-122.0882481223,59.075
1202497256380,37.6361254967,-122.0878011993,60.832
1202497260355,37.6352459001,-122.0871705452,63.119
1202497263372,37.6345524655,-122.0866812099,64.995
1202497266372,37.6338358131,-122.0861702492,66.840
1202497269372,37.6331079289,-122.0856460452,68.321
1202497273359,37.6321270789,-122.0849516048,69.383
1202497277359,37.6311427924,-122.0842589246,69.960
1202497281357,37.6301409039,-122.0835385841,70.604
1202497284372,37.6293996087,-122.0829912460,70.389
1202497287402,37.6286656057,-122.0824402199,69.968
1202497292356,37.6274425189,-122.0815586955,69.655
1202497295356,37.6267158919,-122.0810482378,69.009
1202497298356,37.6259964735,-122.0805321642,68.354
1202497301369,37.6252923939,-122.0800255622,67.467
1202497305360,37.6243685408,-122.0793629730,66.806
1202497309356,37.6234482920,-122.0787049938,66.343
1202497312356,37.6227593837,-122.0782179216,65.881
1202497315356,37.6220688828,-122.0777245630,65.569
1202497319355,37.6211516514,-122.0770598783,65.186
1202497323354,37.6202370185,-122.0764136338,64.595
1202497327354,37.6193481180,-122.0757732567,63.853
1202497330367,37.6186758896,-122.0752985058,63.490
1202497334367,37.6178137274,-122.0746818495,62.904
1202497338355,37.6169549179,-122.0740688811,63.091
1202497342359,37.6160637543,-122.0734304318,63.693
1202497346355,37.6151486185,-122.0727743805,64.408
1202497350216,37.6137733163,-122.0717874956,64.716
1202497353216,37.6130803008,-122.0712968192,64.980
1202497357184,37.6121808392,-122.0706618902,64.855
1202497361182,37.6112827186,-122.0700091079,64.775
1202497364194,37.6106076403,-122.0695240473,64.636
1202497367200,37.6099324783,-122.0690461952,64.757
1202497370200,37.6092480123,-122.0685652418,65.162
1202497374190,37.6083268415,-122.0679044966,65.879
1202497377194,37.6076234325,-122.0673953800,66.502
1202497381180,37.6066705781,-122.0667199665,67.140
1202497384184,37.6059539256,-122.0662153761,67.362
1202497387184,37.6052377761,-122.0657041640,67.450
1202497391193,37.6042949800,-122.0650334444,67.124
1202497395180,37.6033601467,-122.0643723639,66.856
1202497398184,37.6026629402,-122.0638787538,66.442
1202497402181,37.6017415180,-122.0632155779,66.104
1202497406198,37.6008090316,-122.0625497198,65.806
1202497410196,37.5998860168,-122.0619023856,65.485
1202497413197,37.5992155486,-122.0614237791,65.103
1202497417184,37.5983213675,-122.0607834020,65.106
1202497420184,37.5976307828,-122.0602881155,65.430
1202497423184,37.5969361747,-122.0597887219,65.687
1202497427191,37.5960046942,-122.0591238696,65.875
1202497430191,37.5953202282,-122.0586338637,66.114
1202497434178,37.5944044218,-122.0579899662,66.637
1202497437179,37.5936871826,-122.0575031454,67.512
1202497441181,37.5927146308,-122.0568212779,68.500
1202497444192,37.5919853217,-122.0563032764,69.258
1202497448177,37.5910041364,-122.0556004541,70.080
1202497451178,37.5902605781,-122.0550785970,70.805
1202497454200,37.5895067100,-122.0545390541,71.525
1202497457200,37.5887374192,-122.0539881957,72.265
1202497461200,37.5876986504,-122.0532483253,72.889
1202497465184,37.5866657488,-122.0525092932,73.167
1202497468190,37.5858923509,-122.0519579318,73.254
1202497472184,37.5848694238,-122.0512293771,73.166
1202497475187,37.5840858838,-122.0507200090,73.077
1202497479189,37.5830064627,-122.0501112316,72.867
1202497483176,37.5819159775,-122.0495837587,72.522
1202497487176,37.5808097344,-122.0491354108,72.142
1202497491175,37.5796937682,-122.0487497596,71.679
1202497494184,37.5788687378,-122.0484715643,71.157
1202497497184,37.5780580404,-122.0482017510,70.713
1202497500184,37.5772430683,-122.0479209573,70.529
1202497503184,37.5764216421,-122.0476382358,70.404
1202497506184,37.5755913311,-122.0473550114,70.308
1202497509184,37.5747721680,-122.0470796660,69.818
1202497512184,37.5739681761,-122.0468118643,69.162
1202497515184,37.5731772601,-122.0465337529,68.516
1202497519172,37.5721348870,-122.0461531308,67.908
1202497523184,37.5711190845,-122.0456903661,67.318
1202497526187,37.5703756938,-122.0452722769,66.964
1202497530187,37.5694256893,-122.0446355878,66.651
1202497533187,37.5687433188,-122.0441045106,66.384
1202497537187,37.5678839226,-122.0433241557,66.138
1202497541184,37.5670596465,-122.0424733929,66.180
1202497545172,37.5662455964,-122.0416088837,66.136
1202497548177,37.5656350588,-122.0409497311,66.021
1202497552177,37.5648117048,-122.0400709727,65.811
1202497556174,37.5640037734,-122.0392064635,65.070
1202497559177,37.5634267634,-122.0385850295,64.058
1202497563191,37.5626576403,-122.0377549699,63.349
1202497568183,37.5616957334,-122.0367280195,62.782
1202497572173,37.5609271132,-122.0359101137,62.343
1202497576172,37.5601733289,-122.0350981591,61.779
1202497580171,37.5594397451,-122.0342700274,61.650
1202497583184,37.5588789121,-122.0336678717,61.689
1202497587171,37.5581350185,-122.0328678193,62.163
1202497590171,37.5575771192,-122.0322696031,63.061
1202497593184,37.5569695991,-122.0316212631,64.840
1202497596184,37.5563404537,-122.0309438380,65.300
1202497600183,37.5554885174,-122.0300417779,64.604
1202497604178,37.5546245111,-122.0291509496,63.442
1202497607190,37.5539525342,-122.0285270009,61.803
1202497612843,37.5532640450,-122.0279548524,54.069
1202497616842,37.5523371745,-122.0272593224,57.087
1202497619853,37.5516498587,-122.0267418239,61.327
1202497622854,37.5509466172,-122.0262368144,63.348
1202497626842,37.5499890690,-122.0255155519,65.669
1202497629842,37.5492699858,-122.0249793618,67.455
1202497633841,37.5483368289,-122.0242797246,67.754
1202497636843,37.5476483396,-122.0237521678,67.519
1202497639856,37.5469499597,-122.0232280476,67.376
1202497643856,37.5460065768,-122.0225234651,67.231
1202497647856,37.5450978951,-122.0218275159,66.676
1202497651841,37.5441872854,-122.0211484144,66.678
1202497654841,37.5434889894,-122.0206309997,66.883
1202497657856,37.5427947166,-122.0201083044,67.040
1202497661856,37.5418595480,-122.0194395126,67.350
1202497665856,37.5409145726,-122.0187362712,68.050
1202497669841,37.5399528334,-122.0180141705,68.964
1202497673853,37.5389848078,-122.0172965122,69.386
1202497677851,37.5380522376,-122.0164812048,69.996
1202497681841,37.5371811067,-122.0155608722,70.421
1202497684846,37.5365871653,-122.0147942636,70.422
1202497688840,37.5358524079,-122.0136722625,70.466
1202497691841,37.5353448839,-122.0127952643,69.953
1202497695841,37.5347104579,-122.0116549068,68.563
1202497698841,37.5342458491,-122.0108090054,66.977
1202497701841,37.5337962440,-122.0099852323,64.868
1202497704841,37.5333639056,-122.0091797317,62.353
1202497707841,37.5329741473,-122.0084567928,59.036
1202497711834,37.5324905116,-122.0075650425,55.964
1202497714839,37.5321404835,-122.0069061413,53.418
1202497717856,37.5317774634,-122.0062792590,50.513
1202497721835,37.5312670057,-122.0054893488,47.433
1202497724839,37.5308847072,-122.0049042083,43.274
1202497728838,37.5305027441,-122.0043637434,35.674
1202497731845,37.5302017500,-122.0041392762,29.195
1202497737835,37.5296330381,-122.0039785113,22.875
1202497741834,37.5294893723,-122.0039676148,16.376
1202497744835,37.5294814095,-122.0039674472,12.891
1202497747837,37.5293478859,-122.0039566345,14.417
1202497750856,37.5290925732,-122.0039403737,17.694
1202497754834,37.5287754859,-122.0038096160,20.604
1202497758837,37.5287796769,-122.0033461808,24.192
1202497762837,37.5290618954,-122.0027787261,28.907
1202497766856,37.5295013585,-122.0022409434,31.521
1202497770835,37.5299998301,-122.0018207588,32.069
1202497773837,37.5302657039,-122.0015133945,30.687
1202497776837,37.5303330106,-122.0010931261,30.015
1202497780837,37.5299993271,-122.0007360571,30.183
1202497783843,37.5297062121,-122.0009782940,31.912
1202497786847,37.5297020211,-122.0014629355,35.890
1202497790849,37.5300678911,-122.0022910672,43.592
1202497794837,37.5305827912,-122.0032600148,50.584
1202497798857,37.5311257707,-122.0042567904,55.734
1202497802845,37.5316911298,-122.0053108981,59.974
1202497805849,37.5321225462,-122.0061150576,62.950
1202497809835,37.5327247857,-122.0072267490,65.270
1202497812835,37.5331787494,-122.0080782662,66.756
1202497815837,37.5336177095,-122.0089437812,67.795
1202497818848,37.5340772891,-122.0098170914,68.748
1202497822849,37.5347205161,-122.0110232468,69.681
1202497826838,37.5353740529,-122.0122336770,69.914
1202497830836,37.5359969957,-122.0134213922,69.511
1202497834835,37.5366724930,-122.0144969576,68.928
1202497837844,37.5372447253,-122.0152399292,68.812
1202497841835,37.5380664030,-122.0161376307,68.854
1202497845834,37.5389708100,-122.0169444724,69.380
1202497848834,37.5397030528,-122.0175025393,70.128
1202497852833,37.5406820587,-122.0182372129,70.580
1202497855833,37.5414183248,-122.0187850538,71.060
1202497858838,37.5421683372,-122.0193411929,71.545
1202497862832,37.5431561441,-122.0200892775,71.681
1202497865841,37.5439057374,-122.0206508648,71.864
1202497868841,37.5446607790,-122.0212150505,71.870
1202497871843,37.5454003978,-122.0217654898,71.385
1202497875832,37.5463872827,-122.0225027618,70.996
1202497878841,37.5471291647,-122.0230625889,70.419
1202497881842,37.5478400336,-122.0236073285,69.457
1202497885832,37.5487729391,-122.0243103185,68.775
1202497889832,37.5497008993,-122.0250044236,68.370
1202497892832,37.5504116006,-122.0255395241,68.424
1202497895833,37.5511342880,-122.0260790670,68.582
1202497900831,37.5523287926,-122.0269709850,68.637
1202497903841,37.5530223110,-122.0275023975,68.589
1202497906841,37.5537098782,-122.0280469695,69.025
1202497909842,37.5544095992,-122.0286571718,69.942
1202497913841,37.5553131681,-122.0295606568,70.626
1202497916841,37.5559841391,-122.0302735374,70.998
1202497920841,37.5568694354,-122.0312098795,71.066
1202497924828,37.5577344475,-122.0321460539,70.840
1202497927837,37.5583729806,-122.0328306037,70.383
1202497931829,37.5592319578,-122.0337495952,70.192
1202497934841,37.5598769450,-122.0344435327,69.926
1202497937841,37.5605311523,-122.0351395657,69.739
1202497941838,37.5613753772,-122.0360443079,69.141
1202497945834,37.5622019164,-122.0369334599,68.804
1202497948869,37.5628341631,-122.0376097116,68.892
1202497952857,37.5636874405,-122.0385181419,69.179
1202497956647,37.5656151937,-122.0405598889,69.484
1202497960650,37.5664772721,-122.0414780423,69.959
1202497963651,37.5671287134,-122.0421773442,70.437
1202497967653,37.5680019397,-122.0430986826,70.711
1202497971652,37.5689262957,-122.0439299157,70.917
1202497975640,37.5699293576,-122.0446873041,71.413
1202497978651,37.5707035099,-122.0451738734,71.208
1202497982639,37.5717519180,-122.0457107341,71.001
1202497985640,37.5725667225,-122.0460495305,71.013
1202497989668,37.5736739715,-122.0464287277,70.883
1202497993652,37.5747753531,-122.0468032310,70.835
1202497997640,37.5758753937,-122.0471803327,70.793
1202498001640,37.5769559044,-122.0475466217,70.443
1202498004640,37.5777773306,-122.0478269962,70.428
1202498007655,37.5786147662,-122.0481021740,70.351
1202498011650,37.5797147230,-122.0484742466,69.840
1202498015640,37.5807647236,-122.0488525217,68.966
1202498019640,37.5818221841,-122.0492690183,68.457
1202498022654,37.5825934865,-122.0496293562,67.545
1202498026653,37.5835944530,-122.0501532249,66.643
1202498030638,37.5845413563,-122.0507291453,65.596
1202498033653,37.5852155125,-122.0511825223,64.731
1202498037642,37.5861013117,-122.0518089855,64.311
1202498041638,37.5869954928,-122.0524449202,64.275
1202498044649,37.5876762707,-122.0529269633,64.250
1202498048634,37.5885934182,-122.0535823441,64.389
1202498051639,37.5892658980,-122.0540674046,63.943
1202498055635,37.5901599953,-122.0547077818,63.552
1202498058637,37.5908163819,-122.0551793475,62.959
1202498061637,37.5914558370,-122.0556331435,62.202
1202498064637,37.5921043446,-122.0560938127,61.820
1202498067649,37.5927700351,-122.0565746824,61.600
1202498070676,37.5934182913,-122.0570328370,60.745
1202498074631,37.5942448304,-122.0576271975,60.118
1202498077639,37.5948517638,-122.0580669958,59.760
1202498080641,37.5954817474,-122.0585102307,60.077
1202498083644,37.5961119825,-122.0589543038,60.505
1202498087638,37.5969585544,-122.0595679427,61.409
1202498090638,37.5976182099,-122.0600396760,62.447
1202498094636,37.5985209405,-122.0606849985,63.434
1202498098634,37.5994357411,-122.0613256271,63.846
1202498102634,37.6003500388,-122.0619808402,63.827
1202498105638,37.6010109516,-122.0624561778,63.210
1202498109638,37.6018681685,-122.0630672183,62.570
1202498112641,37.6025133233,-122.0635234451,62.371
1202498116638,37.6033650082,-122.0641304623,62.359
1202498119638,37.6040251666,-122.0646066380,62.951
1202498123630,37.6049263885,-122.0652537207,63.765
1202498126633,37.6056101001,-122.0657390327,63.545
1202498129633,37.6062858489,-122.0662228360,62.211
1202498132640,37.6069765174,-122.0667101597,60.123
1202498136640,37.6078888873,-122.0673667139,56.378
1202498140630,37.6084998440,-122.0677974597,48.221
1202498143635,37.6088804660,-122.0680694524,42.438
1202498146638,37.6092793607,-122.0683564486,38.018
1202498150631,37.6097184046,-122.0686656569,33.053
1202498153632,37.6100123578,-122.0688752044,29.525
1202498156638,37.6102571093,-122.0690495479,26.664
1202498160640,37.6105742804,-122.0692742667,25.067
1202498164629,37.6109300082,-122.0695315072,24.139
1202498167629,37.6111772743,-122.0697066051,22.690
1202498170629,37.6114055134,-122.0698665317,21.094
1202498173629,37.6116161506,-122.0700222674,19.202
1202498177628,37.6118496703,-122.0701871394,16.315
1202498180632,37.6119906538,-122.0702821063,13.422
1202498184632,37.6121755586,-122.0704168035,10.637
