unixtime,latitude,longitude,speed
1202513183675,37.5999746973,-122.0633238721,23.761
1202513186697,37.5999730209,-122.0633250455,14.420
1202513190701,37.5999750326,-122.0633266381,7.348
1202513195716,37.5999772118,-122.0633297394,2.547
1202513199668,37.5999784691,-122.0633311643,0.085
1202513202684,37.5999784691,-122.0633315834,0.060
1202513205684,37.5999785530,-122.0633314996,0.044
1202513209660,37.5999789720,-122.0633309128,0.041
1202513213668,37.5999793911,-122.0633302423,0.035
1202513216668,37.5999793911,-122.0633298232,0.031
1202513220665,37.5999797264,-122.0633293203,0.036
1202513223674,37.5999803132,-122.0633286497,0.042
1202513227666,37.5999803132,-122.0633283983,0.034
1202513231684,37.5999797264,-122.0633279792,0.040
1202513235663,37.5999784691,-122.0633275601,0.047
1202513239661,37.5999775471,-122.0633273086,0.042
1202513243660,37.5999772957,-122.0633271410,0.033
1202513248658,37.5999768766,-122.0633268895,0.034
1202513251682,37.5999764575,-122.0633268057,0.034
1202513255679,37.5999759546,-122.0633265543,0.032
1202513259650,37.5999754517,-122.0633260513,0.033
1202513264727,37.5999751164,-122.0633257161,0.031
1202513268652,37.5999745296,-122.0633253808,0.031
1202513271655,37.5999743620,-122.0633250455,0.026
1202513274655,37.5999742782,-122.0633247941,0.022
1202513277685,37.5999741944,-122.0633246264,0.018
1202513281650,37.5999739429,-122.0633242911,0.019
1202513284652,37.5999740267,-122.0633244588,0.016
1202513288676,37.5999738591,-122.0633243750,0.020
1202513291678,37.5999743620,-122.0633243750,0.022
1202513295650,37.5999746973,-122.0633240397,0.021
1202513298650,37.5999745296,-122.0633237882,0.018
1202513301650,37.5999742782,-122.0633238721,0.016
1202513304650,37.5999741944,-122.0633236206,0.016
1202513308640,37.5999741105,-122.0633234530,0.015
1202513311640,37.5999741105,-122.0633235368,0.015
1202513314663,37.5999742782,-122.0633236206,0.020
1202513317667,37.5999747811,-122.0633240397,0.025
1202513320694,37.5999748649,-122.0633242073,0.022
1202513324647,37.5999750326,-122.0633248779,0.025
1202513327648,37.5999749487,-122.0633250455,0.021
1202513344640,37.5999744458,-122.0633237882,0.021
