unixtime,latitude,longitude,speed
1202497200629,37.5638798051,-122.0387412681,66.407
1202497203635,37.5644993114,-122.0393985767,66.741
1202497207617,37.5653294547,-122.0402841244,67.062
1202497210630,37.5659497153,-122.0409502340,67.113
1202497213637,37.5665677966,-122.0416165113,67.242
1202497217622,37.5673917374,-122.0425042383,67.468
1202497220634,37.5680227268,-122.0431552605,67.473
1202497224627,37.5689275529,-122.0439322626,67.420
1202497227628,37.5696266872,-122.0444504316,67.099
1202497230630,37.5703484526,-122.0449312174,66.965
1202497233630,37.5710871495,-122.0453639749,66.708
1202497237626,37.5720427699,-122.0458278293,65.636
1202497241638,37.5731052595,-122.0462102954,66.866
1202497245614,37.5741682521,-122.0465697951,67.247
1202497248628,37.5749595035,-122.0468396084,66.961
1202497252621,37.5760128568,-122.0471991919,66.794
1202497256615,37.5770636956,-122.0475533272,66.552
1202497259620,37.5778505046,-122.0478213804,66.065
1202497263619,37.5787608628,-122.0481133219,63.475
1202497267619,37.5798951853,-122.0484597459,66.103
1202497270620,37.5806827486,-122.0487210097,66.267
1202497274628,37.5816905883,-122.0491605565,66.413
1202497278627,37.5826898784,-122.0496630514,66.823
1202497282614,37.5836893361,-122.0502036840,67.510
1202497285622,37.5844262728,-122.0506549655,67.459
1202497288624,37.5851407459,-122.0511414510,67.392
1202497291625,37.5858517825,-122.0516464604,67.387
1202497295612,37.5867926508,-122.0523238018,67.332
1202497298620,37.5874942158,-122.0528263805,67.077
1202497301628,37.5881973734,-122.0533288754,66.999
1202497305611,37.5891342184,-122.0539935601,67.012
1202497308620,37.5898367054,-122.0544965579,66.962
1202497311626,37.5905387734,-122.0550017350,66.994
1202497315616,37.5914803960,-122.0556726223,67.116
1202497318623,37.5921866549,-122.0561814874,67.165
1202497322617,37.5931258468,-122.0568542187,67.151
1202497325621,37.5938326924,-122.0573528579,67.159
1202497329622,37.5947704594,-122.0580119267,67.113
1202497333622,37.5957212183,-122.0586565787,67.097
1202497337619,37.5966678701,-122.0593292261,66.652
1202497340623,37.5973736261,-122.0598425337,65.151
1202497344623,37.5983147458,-122.0605172767,62.351
1202497348620,37.5991999583,-122.0611436560,57.416
1202497352621,37.5999596937,-122.0617210851,49.393
1202497356617,37.6005039304,-122.0621210694,39.728
1202497360607,37.6009076027,-122.0624036233,30.602
1202497364606,37.6011507617,-122.0625634661,21.852
1202497367611,37.6012487461,-122.0626250730,15.540
1202497371605,37.6013496642,-122.0626991690,11.409
1202497374614,37.6014184796,-122.0627505501,9.265
1202497378601,37.6015385922,-122.0628329442,8.725
1202497381613,37.6016364090,-122.0628905278,8.715
1202497384614,37.6017313759,-122.0629471895,9.182
1202497388602,37.6018399215,-122.0630232133,9.946
1202497391614,37.6019407557,-122.0631034281,11.510
1202497395609,37.6021477049,-122.0632646120,13.479
1202497399615,37.6023620300,-122.0634205154,14.937
1202497403613,37.6026397224,-122.0636185797,15.862
1202497407617,37.6028796124,-122.0637950187,15.186
1202497411609,37.6030848013,-122.0639492456,13.870
1202497414612,37.6032231864,-122.0640479844,12.398
1202497418607,37.6033386052,-122.0641318034,10.157
1202497421607,37.6033817720,-122.0641573682,8.518
1202497425605,37.6034856237,-122.0642144489,8.261
1202497428611,37.6036116037,-122.0643159537,8.200
1202497431614,37.6037233344,-122.0644038799,7.239
1202497435606,37.6037687643,-122.0644364855,5.024
1202497439600,37.6037794931,-122.0644364016,3.997
1202497442611,37.6038098356,-122.0644590328,3.893
1202497446594,37.6038556008,-122.0644817477,4.033
