unixtime,latitude,longitude,speed
1202497200698,37.5427506278,-122.0197687536,67.242
1202497203701,37.5434389494,-122.0202840728,66.959
1202497207704,37.5443426859,-122.0209578938,66.643
1202497211707,37.5452761781,-122.0216597103,66.866
1202497215696,37.5462048088,-122.0223556594,66.951
1202497218699,37.5469055356,-122.0228801149,67.079
1202497221709,37.5475977129,-122.0233997089,67.043
1202497226729,37.5487567621,-122.0242654753,67.299
1202497230697,37.5496868177,-122.0249557248,67.696
1202497233701,37.5503950044,-122.0254894842,68.101
1202497237711,37.5513451766,-122.0262048794,68.311
1202497241699,37.5522971928,-122.0269176761,68.746
1202497245716,37.5532582614,-122.0276439678,68.902
1202497248716,37.5539547135,-122.0282063933,68.946
1202497252697,37.5548616351,-122.0290457567,69.252
1202497255699,37.5555077958,-122.0297221761,69.263
1202497259709,37.5563526075,-122.0306183688,69.065
1202497262709,37.5569918112,-122.0313045950,69.083
1202497266696,37.5578296659,-122.0321982731,68.915
1202497269700,37.5584637566,-122.0328798892,68.900
1202497273708,37.5593068081,-122.0337835419,68.779
1202497277708,37.5601566490,-122.0346901282,68.901
1202497281695,37.5610071604,-122.0355946190,68.745
1202497284700,37.5616425922,-122.0362723794,68.583
1202497287700,37.5622756771,-122.0369514810,68.228
1202497291694,37.5631043117,-122.0378366096,67.707
1202497294707,37.5637187888,-122.0384922418,67.142
1202497297718,37.5643222856,-122.0391384863,66.749
1202497300724,37.5649361760,-122.0397938671,66.810
1202497304700,37.5657552553,-122.0406680993,67.188
1202497308537,37.5676103374,-122.0426553639,67.608
1202497312548,37.5684852401,-122.0435143410,68.112
1202497316552,37.5693951791,-122.0442661975,68.255
1202497320534,37.5703816450,-122.0449400184,68.637
1202497323544,37.5711374409,-122.0453757934,68.503
1202497327534,37.5721829153,-122.0458607701,68.322
1202497330544,37.5729548044,-122.0461459224,67.539
1202497334545,37.5739899691,-122.0465005606,67.001
1202497338545,37.5750392991,-122.0468577133,66.615
1202497342544,37.5760623100,-122.0472092502,65.818
1202497345544,37.5768036891,-122.0474608748,65.222
1202497348550,37.5775396199,-122.0477090629,65.109
1202497352535,37.5785656483,-122.0480569956,65.759
1202497355546,37.5792995675,-122.0482962150,65.944
1202497359534,37.5803385878,-122.0486587322,66.803
1202497363534,37.5813937852,-122.0490515918,67.565
1202497366547,37.5821774090,-122.0493905559,67.773
1202497370534,37.5831990788,-122.0498907038,68.018
1202497373535,37.5839563835,-122.0503206953,68.040
1202497376535,37.5846768916,-122.0507732341,67.621
1202497379535,37.5853817256,-122.0512542713,67.405
1202497383531,37.5863214204,-122.0519233146,67.418
1202497387529,37.5872747777,-122.0526033381,67.566
1202497390544,37.5879882450,-122.0531132929,67.543
1202497395530,37.5891616272,-122.0539513991,67.544
1202497398545,37.5898708197,-122.0544621083,67.585
1202497402542,37.5908231712,-122.0551452331,67.582
1202497406530,37.5917854972,-122.0558286094,67.528
1202497409541,37.5924925104,-122.0563336189,66.781
1202497412541,37.5931876214,-122.0568307494,66.026
1202497416529,37.5941050203,-122.0574899858,65.147
1202497420542,37.5949922445,-122.0581231546,63.643
1202497424529,37.5958575080,-122.0587427446,61.907
1202497427529,37.5965098713,-122.0592098679,59.425
1202497430529,37.5971623184,-122.0596773265,55.839
1202497433530,37.5977301921,-122.0600842677,50.103
1202497437526,37.5983662945,-122.0605375609,42.762
1202497441530,37.5986859802,-122.0607968130,33.295
1202497445522,37.5990988725,-122.0610750083,30.413
1202497448525,37.5993512516,-122.0612454123,26.751
1202497451528,37.5995149501,-122.0613573945,24.226
1202497455527,37.5998161955,-122.0615675287,25.514
1202497458530,37.6001270802,-122.0617876374,27.826
1202497462527,37.6006519548,-122.0621260147,29.983
1202497466544,37.6011459840,-122.0624704270,29.566
1202497470524,37.6015408553,-122.0627539029,28.165
1202497474529,37.6019100780,-122.0630163401,26.275
1202497477544,37.6021401611,-122.0631822179,23.635
1202497481528,37.6024347011,-122.0633908434,21.383
1202497484529,37.6026444162,-122.0635406280,19.640
1202497488537,37.6028441569,-122.0636802704,18.131
1202497492528,37.6030614996,-122.0638401133,18.686
1202497495528,37.6032173191,-122.0639493294,20.094
1202497498528,37.6034551136,-122.0640986949,23.354
1202497501528,37.6038015375,-122.0643170434,26.800
1202497505523,37.6043155157,-122.0646798120,28.540
1202497508535,37.6046854089,-122.0649467755,27.275
1202497512528,37.6050703896,-122.0652190196,23.239
1202497516543,37.6053217627,-122.0653947043,17.371
1202497520528,37.6053894047,-122.0654422296,10.529
1202497523528,37.6053898238,-122.0654423973,5.894
1202497526528,37.6053908296,-122.0654427326,2.928
1202497529528,37.6053918354,-122.0654435707,1.337
1202497532528,37.6053927574,-122.0654442413,0.908
1202497535528,37.6053933442,-122.0654448280,1.343
1202497538528,37.6054033186,-122.0654522041,2.322
1202497541528,37.6054464854,-122.0654830495,3.837
1202497544528,37.6055206652,-122.0655375318,5.382
1202497547528,37.6056137881,-122.0656027430,6.571
1202497550528,37.6056816815,-122.0656475862,7.097
1202497554521,37.6057871258,-122.0657218498,7.765
1202497557523,37.6058822604,-122.0657868095,8.675
1202497560544,37.6059820050,-122.0658573013,9.315
1202497564526,37.6061145228,-122.0659484964,10.094
1202497568522,37.6062704262,-122.0660638313,11.034
1202497571522,37.6063827436,-122.0661463931,11.842
1202497575523,37.6065724260,-122.0662835209,13.207
1202497578544,37.6067326880,-122.0663970119,14.013
1202497582521,37.6069459235,-122.0665478861,14.867
1202497585522,37.6071073589,-122.0666647298,15.468
1202497588522,37.6072513599,-122.0667690844,16.040
1202497591522,37.6074292239,-122.0668965731,17.535
1202497594544,37.6076408668,-122.0670474473,19.145
1202497599518,37.6079869555,-122.0672890137,20.634
1202497602520,37.6082360656,-122.0674662909,22.161
1202497605520,37.6085063818,-122.0676542130,22.983
1202497608544,37.6087670589,-122.0678427220,22.407
1202497612530,37.6091009938,-122.0680868029,21.054
1202497616517,37.6093991380,-122.0682961828,18.436
1202497619524,37.6095423009,-122.0683987772,14.900
1202497623517,37.6096432189,-122.0684729570,11.357
1202497626518,37.6097075919,-122.0685207339,9.249
1202497629518,37.6097811012,-122.0685749648,8.065
1202497632518,37.6098544428,-122.0686286927,7.278
1202497635518,37.6099404411,-122.0686885395,7.001
1202497638518,37.6100064067,-122.0687358972,6.439
