,N31111W
N06351L,0.018126793272478233
N06411H,0.019660680167695493
N06421A,0.022183360115478903
N06421D,0.033307375413171636
N06421E,0.0
N06421F,0.015589768402513509
N06421G,0.028203309685617385
N06431Y,0.014996377457353605
N31111S,0.0058306293315572785
N31111U,0.010878244073372859
N31111W,0.0
