,cd
M_0852_0191,0.032005737113123316
M_0191_0852,0.014324789198728505
M_0191_0038,0.009477946249041023
M_0038_0191,0.03263518713706445
M_0037_0779_0039_U,0.0
M_0037_0038,0.043603261113476476
M_0821_0190,0.01370418807855354
M_0038_0037,0.04474943174133657
M_0821_0159,0.03789407434067925
M_0308_0011,0.0176843123913748
M_0011_0308,0.01269312998077957
M_0015_0159,0.022862533778074356
M_0039_0038,0.008991720332546197
M_0323_0032,0.0102306426361121
M_0032_0323,0.02453620662873878
M_0108_0478_0479,0.009656770847625937
