,N31111W
N06351L,0.02414728074661745
N06411H,0.02139701875153671
N06421A,0.01508189085596818
N06421D,0.04252424362097689
N06421E,0.0
N06421F,0.01720347282562071
N06421G,0.03659565026014261
N06431Y,0.01905511830038457
N31111S,0.007290364995253865
N31111U,0.0047009455018505
N31111W,0.0
