,N31111U
N06351L,0.0034176504586469303
N06411H,0.005043378689826825
N06421A,0.012632010950034753
N06421D,0.018727578239761546
N06421E,0.003424384625457112
N06421F,0.0
N06421G,0.01566858717444694
N06431Y,0.0
N31111S,0.0
N31111U,0.0
N31111W,0.005400312377459389
