,N06421B,N06431X,N06431Z,N06451L,N06451P,N06451S,N06461T,N06481L,N06481P,N06481S,N06511A,N06511B,N06521E,N06521G,N06611G,N06611J,N06621D,N06731Z,N06461E,N06611F,N06481N,N06482F,N06482K,N06482J,N06551T,N06451R
0,0.04999158185377995,0.03263699117987684,0.0025879639952008883,0.027228451665526985,0.06278104391102422,0.03580880486334738,0.06925325103744509,0.01525263214680529,0.029963531842612245,0.02412668963499743,0.04270456143389145,0.0262142046927469,0.03374349933542093,0.02662958560684052,0.058270498602468135,0.018847414626400997,0.020761358432491744,0.0,0.04183656547953103,0.0024516858947795633,0.00873082738491192,0.004151024320473013,0.0,0.053289426335589404,0.0,0.006125067694515436
1,0.04600679971580788,0.029479584653834726,0.0038975804252751986,0.028851964253349058,0.05580862104341731,0.03885752917692827,0.0996110381609423,0.044391601649414796,0.030897806338681087,0.023766554096899074,0.03708905150149715,0.027571396533955142,0.025343265316824647,0.027754845727210126,0.04598091952381366,0.02840737971720446,0.02007938973254949,0.0,0.037879838558443374,0.0,0.012979993871511528,0.02482707528122404,0.0,0.035530682231062996,0.0,0.010222208114951042
2,0.045161328443715724,0.02912338818351599,0.00401624454817843,0.023230276345807325,0.06424885294488741,0.04513402018770553,0.07360448303868317,0.032947067754947316,0.023591390081827666,0.022411838534107907,0.029730692797429688,0.027499228403229787,0.023735101767596557,0.026625307632876127,0.04641236960708817,0.03148241669956658,0.016329680989062248,0.0,0.06407075333103675,0.0,0.013133593651183625,0.01924573939129273,0.0,0.05700503575642824,0.0,0.013578669145847858
3,0.03983317754141997,0.02448218205327961,0.004188844296048843,0.02235968668844759,0.06048091162456521,0.04692271332837301,0.05511284245346208,0.02941535421516514,0.01892507594095382,0.01738971588741233,0.029439412360229428,0.028320072549528258,0.017702816086583674,0.024483706826010657,0.049766162722397755,0.029622341398639798,0.019499143923340102,0.0,0.0659824142281582,0.0,0.012080915551015719,0.015873816778158058,0.0,0.048633174292038076,0.0,0.012859436300781976
4,0.0349403998746075,0.021787013812644473,0.0,0.019370503844595686,0.061937607177135846,0.04386384587311555,0.06741653147108025,0.02830393093868371,0.01779235109429602,0.02644083405637444,0.02847219353751505,0.029598540520186532,0.01554776791871144,0.023566163875869024,0.058178214243439996,0.025619506041709164,0.019430102265939553,0.0,0.05288754558516267,0.0,0.011856938138173661,0.03340703203872053,0.0,0.04920879933004313,0.0,0.015714550703996178
5,0.033436271760837785,0.02037193302349856,0.0,0.021559646676650474,0.06055586747997038,0.04154798513328858,0.07490584844671619,0.03957884576845987,0.015835855429008564,0.024872359449457124,0.024800252046739423,0.03213395557139345,0.017479065376360254,0.021869521087085002,0.05118267483608931,0.024038541504775645,0.018286799273956024,0.0,0.053817848937614356,0.0,0.010887616424202893,0.035422275994740925,0.0,0.04900977926403081,0.0,0.01654921838272777
6,0.0391784020334793,0.02068895385026944,0.0,0.021314347742611896,0.060299209349162455,0.0438592307831601,0.07842763622220206,0.04650297756345364,0.017749065936892874,0.022383682208773622,0.02835085677188593,0.02972272536729038,0.017735990358759023,0.021134952423193364,0.05066571911094549,0.02247599708111937,0.017893120163971352,0.0,0.050196505799730985,0.0,0.01056492644896798,0.04400681820193297,0.0,0.04740362221821623,0.0,0.01622677424723205
7,0.03701341806226563,0.021385843847843637,0.0,0.020485136477308066,0.05477880506550305,0.04239523349028251,0.08093440165671785,0.04643474345998974,0.01632316087959111,0.02030581707090995,0.029025545751364047,0.030959418635299267,0.020412184204125335,0.019274915636411746,0.04887416630500398,0.03163908312603214,0.017378413995794133,0.0,0.04816449320498973,0.0,0.011288756347031014,0.043319665205888425,0.0,0.04785465182484669,0.0,0.021160640370938153
8,0.03775693483171819,0.02139706097697564,0.0,0.03117838663714699,0.06865822503048086,0.04605889094766963,0.08197528678567088,0.05016521160974081,0.016680124809936678,0.019474310445586458,0.04679912367589337,0.029847718961569007,0.02209863936118102,0.018368352389998246,0.05925285627330199,0.03303279590002399,0.01692598409220925,0.0,0.04583230986422167,0.0,0.011429575890810747,0.04511282139223965,0.0,0.04667832147992433,0.0,0.021965499475081113
9,0.037283771353995535,0.02374041807511957,0.0,0.03546866643023641,0.06394771734730859,0.04474189245787083,0.08478919943879588,0.05422574682139337,0.02186092522424583,0.018796274820898698,0.049837832272363006,0.030076544750174506,0.028689359098655214,0.017079706796492563,0.061325665770094524,0.029908602945744676,0.016025503948608542,0.0,0.04539113446356326,0.0,0.013064752821796146,0.04985482174908298,0.0,0.054176493547647,0.0,0.022118276503380104
10,0.038894482739117185,0.021677271508030713,0.0,0.03729749595394121,0.0644401368529886,0.04591194461612585,0.08239871619261387,0.05231567250636094,0.021299001955125907,0.017802687990408954,0.0518711948934664,0.029222872454728342,0.02937123848471212,0.016777117653732153,0.06034571997260375,0.03040943111974569,0.022123952241344995,0.0,0.05870108107674941,0.0,0.013855815119288835,0.04973797993878861,0.0,0.056691576066079254,0.0,0.021670447827222085
11,0.039458554268816476,0.0218117826422669,0.0,0.038198565265364796,0.06459957590157471,0.04515172371346565,0.09771577501516482,0.0561746936396795,0.021381167531165132,0.01800781365500767,0.05230153588729984,0.03373065920582375,0.02709192614056414,0.01498387681098651,0.060295540494826924,0.030405510839183723,0.02156522208079162,0.0,0.059886080339776875,0.0,0.013746987049636493,0.06731803214702502,0.0,0.057734168666698386,0.0,0.023259928829276938
