unix time, latitude, longitude, postmile, speed
1202513059,37.595484597,-122.058871239,-23.030338,40.792
1202513063,37.594822930,-122.058379054,-22.977568,45.099
1202513067,37.594111726,-122.057844876,-22.920649,48.304
1202513071,37.593390883,-122.057329221,-22.863945,49.931
1202513075,37.592675906,-122.056820691,-22.807865,50.947
1202513079,37.591957242,-122.056305791,-22.751068,51.582
1202513083,37.591218965,-122.055783515,-22.692915,52.149
1202513087,37.590482950,-122.055259227,-22.634806,52.295
1202513091,37.589748695,-122.054735023,-22.576809,52.479
1202513094,37.589196580,-122.054339565,-22.533394,52.631
1202513098,37.588456290,-122.053813014,-22.474516,52.644
1202513101,37.587899229,-122.053414706,-22.430370,52.307
1202513104,37.587340911,-122.053020589,-22.386314,51.638
1202513108,37.586601124,-122.052491272,-22.327684,50.715
1202513111,37.586097540,-122.052135293,-22.287945,48.804
1202513115,37.585467724,-122.051685604,-22.238310,47.107
1202513119,37.584835477,-122.051239771,-22.187815,46.025
1202513123,37.584196190,-122.050820676,-22.137625,45.139
1202513127,37.583542904,-122.050431420,-22.087580,44.187
1202513130,37.583044684,-122.050161355,-22.050217,43.032
1202513134,37.582388717,-122.049886680,-22.003204,41.114
