unix time, latitude, longitude, postmile, speed
1202517843,37.641321520,-122.091680846,-26.660421,35.984
1202517847,37.640771919,-122.091246160,-26.615751,34.643
1202517851,37.640274956,-122.090861180,-26.575788,31.473
1202517855,37.639973543,-122.090632773,-26.551874,26.474
1202517859,37.639736168,-122.090448455,-26.532955,23.491
1202517863,37.639476580,-122.090245697,-26.512470,22.323
1202517867,37.639164606,-122.090010752,-26.489809,22.502
1202517870,37.638927398,-122.089841438,-26.466965,22.900
1202517873,37.638701255,-122.089679248,-26.448965,23.940
1202517877,37.638325494,-122.089410524,-26.419117,26.048
1202517880,37.638011257,-122.089185386,-26.394178,27.659
1202517883,37.637690565,-122.088959159,-26.368967,28.551
1202517886,37.637381692,-122.088739972,-26.344814,28.981
1202517889,37.637083715,-122.088527826,-26.322008,29.339
1202517892,37.636784733,-122.088314088,-26.302177,29.961
1202517896,37.636379133,-122.088022733,-26.264015,31.152
1202517899,37.636045701,-122.087782927,-26.237576,33.147
1202517903,37.635546559,-122.087422170,-26.197943,36.062
1202517906,37.635127631,-122.087123607,-26.164883,38.851
1202517910,37.634531762,-122.086702332,-26.118124,41.663
1202517914,37.633902449,-122.086249961,-26.069030,44.048
1202517918,37.633242375,-122.085776803,-26.015461,45.947
1202517922,37.632555813,-122.085284618,-25.961630,47.405
1202517926,37.631876209,-122.084801317,-25.908556,48.012
1202517930,37.631188055,-122.084315670,-25.855140,48.602
1202517934,37.630513228,-122.083828179,-25.803110,48.900
1202517938,37.629823649,-122.083334150,-25.747150,49.404
1202517942,37.629129879,-122.082836516,-25.692554,49.883
1202517946,37.628429655,-122.082334357,-25.637457,50.608
1202517950,37.627702609,-122.081818954,-25.580482,51.378
1202517953,37.627151667,-122.081423412,-25.537119,51.600
1202517956,37.626584883,-122.081018901,-25.492605,51.299
1202517960,37.625826572,-122.080472820,-25.432869,50.359
1202517964,37.625114949,-122.079968817,-25.377160,47.940
1202517968,37.624532072,-122.079551566,-25.331380,44.614
1202517971,37.624127645,-122.079264318,-25.299740,42.215
1202517975,37.623567986,-122.078867603,-25.256096,40.653
1202517978,37.623137156,-122.078561328,-25.222757,38.979
1202517982,37.622582358,-122.078168720,-25.178318,37.002
1202517986,37.622086569,-122.077811148,-25.139217,34.390
1202517990,37.621673089,-122.077517698,-25.106800,31.440
1202517994,37.621280984,-122.077234054,-25.075855,28.878
1202517997,37.620997424,-122.077031799,-25.053596,26.366
1202518001,37.620638763,-122.076778079,-25.025545,23.786
1202518005,37.620384791,-122.076599377,-25.005743,20.701
1202518009,37.620130987,-122.076415981,-24.985790,19.282
1202518013,37.619947256,-122.076281954,-24.971329,17.922
1202518016,37.619790766,-122.076167625,-24.959051,18.451
1202518020,37.619492203,-122.075955898,-24.936420,20.582
1202518023,37.619242590,-122.075780800,-24.915510,22.458
1202518026,37.618979231,-122.075591202,-24.894209,24.539
1202518029,37.618695252,-122.075387438,-24.871265,26.736
1202518033,37.618302979,-122.075107147,-24.839619,28.866
1202518036,37.617979186,-122.074874130,-24.813433,30.959
1202518039,37.617623123,-122.074619740,-24.784708,32.969
1202518043,37.617102356,-122.074250433,-24.742810,34.952
1202518047,37.616566082,-122.073869811,-24.699656,36.242
1202518051,37.616050260,-122.073502851,-24.658121,36.882
1202518055,37.615560254,-122.073155170,-24.618715,37.397
1202518059,37.615031691,-122.072772537,-24.575928,38.730
1202518062,37.614595078,-122.072454946,-24.540570,40.002
1202518066,37.614007758,-122.072034678,-24.493961,40.867
1202518069,37.613572905,-122.071729577,-24.457876,41.337
1202518073,37.612979383,-122.071305285,-24.409582,41.851
1202518077,37.612382843,-122.070876215,-24.360940,42.067
1202518080,37.611932483,-122.070557703,-24.324432,41.942
1202518084,37.611357737,-122.070150343,-24.277810,41.238
1202518087,37.610931182,-122.069849517,-24.243270,40.395
1202518091,37.610355513,-122.069433523,-24.196266,39.367
1202518095,37.609785208,-122.069028258,-24.149984,37.986
1202518099,37.609292856,-122.068677308,-24.110010,35.926
1202518102,37.608989263,-122.068461474,-24.085411,34.727
1202518106,37.608587854,-122.068176070,-24.052986,35.435
1202518110,37.608080078,-122.067810116,-24.014290,38.577
1202518113,37.607626282,-122.067486324,-23.975708,42.141
1202518117,37.606937709,-122.066996402,-23.922272,46.155
1202518120,37.606377798,-122.066598094,-23.878822,49.080
1202518124,37.605622589,-122.066058383,-23.820127,50.738
1202518128,37.604880875,-122.065526803,-23.762426,50.964
1202518132,37.604176795,-122.065027242,-23.707842,50.152
1202518135,37.603670445,-122.064666820,-23.668545,49.097
1202518139,37.603000898,-122.064186202,-23.616430,48.171
1202518143,37.602353313,-122.063723437,-23.566109,47.279
1202518147,37.601716121,-122.063265366,-23.516495,47.119
1202518151,37.601063758,-122.062805703,-23.466074,47.719
1202518155,37.600405108,-122.062334473,-23.414960,48.658
1202518159,37.599714775,-122.061841952,-23.361073,49.931
1202518163,37.598948417,-122.061293441,-23.300764,51.523
1202518166,37.598360679,-122.060876022,-23.254633,51.683
1202518170,37.597614270,-122.060350728,-23.196230,50.569
1202518174,37.596945814,-122.059873128,-23.143660,48.571
1202518177,37.596475086,-122.059536762,-23.106636,46.783
1202518180,37.596023637,-122.059219926,-23.071348,45.217
1202518184,37.595432965,-122.058800077,-23.024977,44.489
1202518188,37.594803987,-122.058348963,-22.975447,44.726
1202518192,37.594191186,-122.057901286,-22.926884,45.045
1202518196,37.593553408,-122.057443802,-22.876663,46.096
1202518200,37.592885705,-122.056970140,-22.824312,47.401
1202518204,37.592201407,-122.056482733,-22.770460,48.619
1202518208,37.591510319,-122.055989458,-22.715858,49.768
1202518212,37.590787632,-122.055475815,-22.658844,51.140
1202518216,37.590047175,-122.054951779,-22.600523,52.160
1202518220,37.589304790,-122.054421456,-22.541975,53.015
1202518224,37.588545138,-122.053877303,-22.481585,53.834
1202518228,37.587779871,-122.053329462,-22.420916,54.416
1202518232,37.587018543,-122.052792601,-22.360860,54.585
1202518236,37.586238188,-122.052230511,-22.298893,54.780
1202518240,37.585453139,-122.051671941,-22.237120,54.296
1202518244,37.584671443,-122.051117982,-22.174501,53.407
1202518248,37.583923945,-122.050650775,-22.116540,51.280
1202518252,37.583224225,-122.050251377,-22.063480,48.860
1202518256,37.582509919,-122.049922974,-22.011505,46.419
