,N06411H
N06351L,0.026737744570959277
N06411H,0.0
N06421A,0.008158167801019314
N06421D,0.033410357883961496
N06421E,0.01343333168896987
N06421F,0.041331449705220694
N06421G,0.03728317883772318
N06431Y,0.04071678028909224
N31111S,0.01476011191061136
N31111U,0.005174081763434774
N31111W,0.04738207925305503
