,N06481L
N06421B,0.04376393151863302
N06431X,0.027912840087126297
N06431Z,0.0145957520551772
N06451L,0.02440282068037363
N06451P,0.042602672354808295
N06451S,0.025741230744210312
N06461T,0.018448054051310853
N06481L,0.0
N06481P,0.028265730490000095
N06481S,0.013911210021373233
N06511A,0.04334710902561152
N06511B,0.0360765077515088
N06521E,0.03382532157974794
N06521G,0.019288220759980438
N06611G,0.06096238520210118
N06611J,0.0230470945079321
N06621D,0.034443695263057295
N06731Z,0.0
N06461E,0.04620882149671562
N06611F,0.0072938874581604946
N06481N,0.010787304040069261
N06482F,0.020023635906438575
N06482K,0.0
N06482J,0.04274444632873873
N06551T,0.05016521160974081
N06451R,0.03430673794934619
