,N06521E
N06421B,0.020519783361316015
N06431X,0.029901196167629873
N06431Z,0.011615798835388099
N06451L,0.03374273639089603
N06451P,0.04096429462535352
N06451S,0.029660686421449967
N06461T,0.02997160575361802
N06481L,0.03274783506278049
N06481P,0.017491149455854667
N06481S,0.010166169296331507
N06511A,0.009522782781343584
N06511B,0.016073460251809057
N06521E,0.0
N06521G,0.009343153740633256
N06611G,0.02162942777825425
N06611J,0.016462705505892485
N06621D,0.03877116419415453
N06731Z,0.0
N06461E,0.04236896270667511
N06611F,0.015265219700384072
N06481N,0.010451603950024634
N06482F,0.019667624311044452
N06482K,0.0
N06482J,0.038034273896261864
N06551T,0.02209863936118102
N06451R,0.011866570896937155
