,N06482J
N06421B,0.025732757931924782
N06431X,0.027757512345517026
N06431Z,0.014656298738988304
N06451L,0.03632823511846859
N06451P,0.03399994204211432
N06451S,0.02382409124330548
N06461T,0.014619480303179477
N06481L,0.052670735230028694
N06481P,0.02968706675607536
N06481S,0.011150263007343578
N06511A,0.05114453949806276
N06511B,0.03963073298880006
N06521E,0.05379003953814033
N06521G,0.010734390945864994
N06611G,0.04260422284669076
N06611J,0.01831604978088096
N06621D,0.011999107962950912
N06731Z,0.0
N06461E,0.028705018450102784
N06611F,0.0
N06481N,0.00839931839936852
N06482F,0.03037653293126415
N06482K,0.0
N06482J,0.0
N06551T,0.04667832147992433
N06451R,0.03791287228767612
