,N06621D
N06421B,0.01804624515912516
N06431X,0.022454702188575287
N06431Z,0.012274224845299532
N06451L,0.0686686544497187
N06451P,0.031142096430937877
N06451S,0.03498327317123538
N06461T,0.012020260266791965
N06481L,0.027311326131641462
N06481P,0.014594242115177502
N06481S,0.018609277398069713
N06511A,0.02393831075779053
N06511B,0.021665134562483056
N06521E,0.05579076573601051
N06521G,0.014044423779369482
N06611G,0.024549100414607634
N06611J,0.018054814481406747
N06621D,0.0
N06731Z,0.0
N06461E,0.031980619154057144
N06611F,0.01815361575044455
N06481N,0.011028771138497236
N06482F,0.010787105742356131
N06482K,0.0
N06482J,0.033935667633633516
N06551T,0.01692598409220925
N06451R,0.018309346279540138
