,N06521G
N06421B,0.023866320753205376
N06431X,0.022651835940984213
N06431Z,0.01140557655193742
N06451L,0.029626959014889938
N06451P,0.024648009057279378
N06451S,0.02164125849420862
N06461T,0.018180535380543584
N06481L,0.038421142167215816
N06481P,0.042627556566333144
N06481S,0.024787821675644823
N06511A,0.020894801163406338
N06511B,0.03316318684681056
N06521E,0.02285652367553629
N06521G,0.0
N06611G,0.027973570410503606
N06611J,0.028949709608091557
N06621D,0.03620505648717084
N06731Z,0.0
N06461E,0.022780800533684954
N06611F,0.0
N06481N,0.01428333665130899
N06482F,0.018776663811515756
N06482K,0.0
N06482J,0.028794105546160617
N06551T,0.018368352389998246
N06451R,0.016469424352236382
