,N06611F
N06421B,0.0
N06431X,0.0
N06431Z,0.0
N06451L,0.011434846664008744
N06451P,0.01090626781179374
N06451S,0.007993750635093234
N06461T,0.0
N06481L,0.0
N06481P,0.01197017694499151
N06481S,0.011207215440605992
N06511A,0.008686834268345765
N06511B,0.0
N06521E,0.009187582471931612
N06521G,0.019095243855443863
N06611G,0.0
N06611J,0.013461533854146324
N06621D,0.0
N06731Z,0.007091460110818939
N06461E,0.0
N06611F,0.0
N06481N,0.010829613098884838
N06482F,0.0
N06482K,0.007234560891576154
N06482J,0.0
N06551T,0.0
N06451R,0.0
