,N06431Z
N06421B,0.012532513441142807
N06431X,0.008326016443831493
N06431Z,0.0
N06451L,0.012284592476981143
N06451P,0.025795040216145246
N06451S,0.006947038082007484
N06461T,0.0
N06481L,0.02233087053416348
N06481P,0.013070758841773207
N06481S,0.015310790089535668
N06511A,0.013360647889252654
N06511B,0.014811384267128098
N06521E,0.00926460665609996
N06521G,0.010524850772935131
N06611G,0.014964435075708903
N06611J,0.010665658088713262
N06621D,0.017837999575577173
N06731Z,0.0
N06461E,0.019596205579520517
N06611F,0.011077464284209703
N06481N,0.0
N06482F,0.008115694756540729
N06482K,0.006621585806308537
N06482J,0.02296874221433007
N06551T,0.0
N06451R,0.01694213449662002
