,N06451S
N06421B,0.02823059889808854
N06431X,0.020446832006795812
N06431Z,0.011218385295474217
N06451L,0.07588127048706937
N06451P,0.02873085359586523
N06451S,0.0
N06461T,0.04411170370901484
N06481L,0.05701086820184539
N06481P,0.016832000167060112
N06481S,0.016411631349031692
N06511A,0.03508926529692373
N06511B,0.01810832603366756
N06521E,0.06419269965012317
N06521G,0.02541523561733047
N06611G,0.042260063675429616
N06611J,0.03694134615244647
N06621D,0.05805476553213347
N06731Z,0.0
N06461E,0.048675791464424426
N06611F,0.02150488122349009
N06481N,0.007874130992767979
N06482F,0.037941657402937486
N06482K,0.0
N06482J,0.0344545608633723
N06551T,0.04605889094766963
N06451R,0.021587198677854826
