,N06511A
N06421B,0.03529033338601607
N06431X,0.025852803459293205
N06431Z,0.015158107877518234
N06451L,0.06289253605124556
N06451P,0.049882677377218174
N06451S,0.02321848134697135
N06461T,0.03803315659546779
N06481L,0.09183068052891956
N06481P,0.01618350172435523
N06481S,0.011953116451626068
N06511A,0.0
N06511B,0.01080217383952029
N06521E,0.04266944782607212
N06521G,0.01133726383533734
N06611G,0.02631838486451217
N06611J,0.027359165804956363
N06621D,0.06331524622581346
N06731Z,0.0
N06461E,0.032500253112102605
N06611F,0.010361212827093633
N06481N,0.0
N06482F,0.029977012700835734
N06482K,0.0
N06482J,0.04331957488588028
N06551T,0.04679912367589337
N06451R,0.026055222121263346
