,N06461T
N06421B,0.045723969581126685
N06431X,0.017986618306589864
N06431Z,0.0
N06451L,0.02334742388782337
N06451P,0.011115372869834836
N06451S,0.02508432060161206
N06461T,0.0
N06481L,0.02130941354618598
N06481P,0.020787195986545427
N06481S,0.014813938380972431
N06511A,0.021964273459245447
N06511B,0.01707092848563146
N06521E,0.030539718147739144
N06521G,0.020942551521264393
N06611G,0.015291017962502615
N06611J,0.022837788335303182
N06621D,0.026681376324165142
N06731Z,0.0
N06461E,0.04633378566787482
N06611F,0.0
N06481N,0.0
N06482F,0.09599421734761467
N06482K,0.0
N06482J,0.02360991208237108
N06551T,0.08197528678567088
N06451R,0.022677054943748158
