,N06482F
N06421B,0.04739163468116349
N06431X,0.015693351014934534
N06431Z,0.0
N06451L,0.02440284576985139
N06451P,0.03390198392169011
N06451S,0.009336488591842013
N06461T,0.06146742005366839
N06481L,0.02328220299927401
N06481P,0.016427992602274396
N06481S,0.012211913338798336
N06511A,0.025102506474069156
N06511B,0.01579539535653696
N06521E,0.02769094951275618
N06521G,0.01157438457404865
N06611G,0.020819221710235033
N06611J,0.0347923904568223
N06621D,0.030317379129462935
N06731Z,0.0
N06461E,0.09019335571550036
N06611F,0.010637179370212317
N06481N,0.0
N06482F,0.0
N06482K,0.0
N06482J,0.0221819820119299
N06551T,0.04511282139223965
N06451R,0.02356642751642376
