,N06451P
N06421B,0.025016852668312665
N06431X,0.03035599239817717
N06431Z,0.009025047541841108
N06451L,0.03480734510037314
N06451P,0.0
N06451S,0.0386593354278796
N06461T,0.05653727933607921
N06481L,0.05806887713947889
N06481P,0.01618233673021513
N06481S,0.019134906462560542
N06511A,0.016903632930955977
N06511B,0.027431433662837162
N06521E,0.025973530437319065
N06521G,0.00971723233667138
N06611G,0.03470754841428647
N06611J,0.029294167976423424
N06621D,0.017189286520538832
N06731Z,0.0
N06461E,0.05120274077226615
N06611F,0.0
N06481N,0.0
N06482F,0.05076586524306693
N06482K,0.0
N06482J,0.06311015648222257
N06551T,0.06865822503048086
N06451R,0.0639277011290946
