,N06511B
N06421B,0.04352581988280169
N06431X,0.0390072566508378
N06431Z,0.009749894837314052
N06451L,0.024456357580717583
N06451P,0.02554013778721198
N06451S,0.03959353461100825
N06461T,0.05471431842831179
N06481L,0.07970573180335938
N06481P,0.05133177751759603
N06481S,0.024686469862421612
N06511A,0.04426983389009346
N06511B,0.0
N06521E,0.021225164889903024
N06521G,0.03463580776391617
N06611G,0.035854641077053766
N06611J,0.026735450500376325
N06621D,0.030664259024614737
N06731Z,0.0
N06461E,0.02843944156892522
N06611F,0.0
N06481N,0.007665808198199041
N06482F,0.04948827356129508
N06482K,0.0
N06482J,0.021870453694458405
N06551T,0.029847718961569007
N06451R,0.03310519957040775
