,N06431X
N06421B,0.019533799631371588
N06431X,0.0
N06431Z,0.008839072666254175
N06451L,0.012584898449919807
N06451P,0.02522950346740853
N06451S,0.01013162319977309
N06461T,0.02043846962106717
N06481L,0.03559038975604778
N06481P,0.0308584063849887
N06481S,0.02335297658537202
N06511A,0.01875922205127885
N06511B,0.022127745163945913
N06521E,0.018140767388540348
N06521G,0.020751323245994657
N06611G,0.025405875966076755
N06611J,0.00981117184842871
N06621D,0.019811194962502644
N06731Z,0.0
N06461E,0.024630246552481964
N06611F,0.0
N06481N,0.00977586926502439
N06482F,0.026182803233997395
N06482K,0.0
N06482J,0.025896503941840968
N06551T,0.02139706097697564
N06451R,0.022798711775948034
