,N06551T
N06421B,0.03386926370627107
N06431X,0.02167284289684824
N06431Z,0.01027477754202404
N06451L,0.020359076921841895
N06451P,0.04248422154987356
N06451S,0.013966849009295488
N06461T,0.05089416042329156
N06481L,0.03835461873151993
N06481P,0.02028915330525402
N06481S,0.02736580628301233
N06511A,0.014376187332062236
N06511B,0.052623132255394
N06521E,0.01685622581802115
N06521G,0.019507389299978122
N06611G,0.029124777192439194
N06611J,0.035797661004819036
N06621D,0.04021347205728859
N06731Z,0.0
N06461E,0.0460591990945517
N06611F,0.011808362753470735
N06481N,0.0
N06482F,0.05333528994176071
N06482K,0.0
N06482J,0.021449145430258144
N06551T,0.0
N06451R,0.04068023916939089
