,N06451R
N06421B,0.020863650628040364
N06431X,0.034792646011229986
N06431Z,0.0
N06451L,0.0
N06451P,0.019121479764879438
N06451S,0.016599577424776687
N06461T,0.038444958170228485
N06481L,0.04656515950254167
N06481P,0.017981740079905252
N06481S,0.011530993553628261
N06511A,0.021587067063331494
N06511B,0.020721633664009247
N06521E,0.0
N06521G,0.019542414866210486
N06611G,0.015790790208298773
N06611J,0.02102865668605045
N06621D,0.011572512324947897
N06731Z,0.0
N06461E,0.02421695189886026
N06611F,0.0
N06481N,0.009821447708422477
N06482F,0.035901078755237105
N06482K,0.0
N06482J,0.02709150065027574
N06551T,0.021965499475081113
N06451R,0.0
