,N29131C
N06691U,0.058231841783321234
N06731X,0.02135554920518634
N06731Y,0.0709232434408823
N26151X,0.027481492028355776
N29121G,0.035517739882614544
N29131B,0.042842149055019436
N29131C,0.0
N29141A,0.02630500094350797
N29142H,0.049069132871132376
N29131F,0.013621276578115796
