,N06731Y
N06691U,0.018759118305791963
N06731X,0.010434296750373944
N06731Y,0.0
N26151X,0.01312574014150969
N29121G,0.033186663715265456
N29131B,0.030589466491530073
N29131C,0.006978388698739978
N29141A,0.01684615045028792
N29142H,0.0720604167394828
N29131F,0.02817908926406276
