,N06731X
N06691U,0.02615199843626898
N06731X,0.0
N06731Y,0.028301931840356117
N26151X,0.0
N29121G,0.05469818022457029
N29131B,0.05315995957529258
N29131C,0.02955638641567256
N29141A,0.037579011700329096
N29142H,0.04371701350165228
N29131F,0.04811640660020537
