,M_0038_0191,M_0191_0038,M_0039_0038,M_0037_0038,M_0038_0037,M_0108_0478_0479,M_0032_0323,M_0323_0032,M_0015_0159,M_0821_0159,M_0821_0190,M_0011_0308,M_0308_0011,M_0852_0191,M_0191_0852,M_0037_0779_0039_U
0,0.129482719100356,0.11677680599355089,0.2090162008257231,0.019917632853348938,0.05491867294701561,0.027812781908436893,0.05744142713162333,0.013221240074909432,0.07580729646709505,0.04328573938049066,0.16202054606216917,0.13139108452407317,0.055819633314367394,0.0789689037752621,0.12173025530044992,0.0
1,0.10016120983792867,0.06271084562777884,0.13773470620426698,0.00994509270546525,0.03368547953903359,0.018789867264132974,0.038227827784575084,0.008159730377500169,0.054131531755709714,0.022265332498187417,0.12600284346262658,0.08888217981968996,0.03209159123897625,0.054798232689731365,0.08809954921271661,0.0
2,0.06543076319760363,0.039034022160970606,0.10003075026098426,0.009259026123094646,0.025867024312807203,0.011849334775788024,0.030455893532942827,0.005949720594639558,0.04915526247186983,0.01739823706236093,0.08488724512228935,0.06998324676779177,0.022850186428912185,0.03863882711229693,0.068877349155504,0.0
3,0.04664105482372093,0.03259966730386798,0.08384886075685902,0.008304123324841269,0.023109893659997653,0.0093129669103929,0.02644157931392472,0.005348705913766316,0.04107490446841045,0.015190454450295657,0.06870154391688955,0.051943588686478664,0.016843981088480658,0.02934689658714601,0.0642430751093956,0.0
4,0.03668232196661565,0.026083585429353566,0.07104774267912145,0.008356208945727863,0.020790970112758357,0.007816210742203736,0.026965547511594135,0.0047523749749977745,0.033936399952764096,0.01431492546837786,0.060454753375665554,0.041246374004231916,0.013292682006844277,0.023624242693480544,0.06075227708037695,0.0
5,0.030278923955158136,0.02079285686603405,0.05606319830853015,0.008059881277803004,0.017362453227558836,0.006455576490221571,0.027010412763755536,0.0049012049309728285,0.03048944112102198,0.013841675387014248,0.052928607888094246,0.033815914213674664,0.010891786925040156,0.02077536385711461,0.057182138805764914,0.0
6,0.026402723188089824,0.01760090234995478,0.04846780179772397,0.00804005650606629,0.01535313358023842,0.006245979398951302,0.02623806643652013,0.004914279431183062,0.02727275005883753,0.01356250000315215,0.04515955294962302,0.0321599260112279,0.008526106396766018,0.019849747237291417,0.05298493182812683,0.0
7,0.024743506108929968,0.016078755059073944,0.04452643062018111,0.009457424585788372,0.015165764665715063,0.00639034019217598,0.026084377159674536,0.005379488858015816,0.02469257302300163,0.01519033469501835,0.03965297100619127,0.02966880860334276,0.00763964018220109,0.01818332599231355,0.05562541172126286,0.0
8,0.023923653288019476,0.013781967107795461,0.04314483250315976,0.009893559456238214,0.014901585261820277,0.006338809946788884,0.024515730465842087,0.005684412060384106,0.02325794772862607,0.015384457608131294,0.0337668721602295,0.026547524714521018,0.006753281475438871,0.019065768038092006,0.05556711918293793,0.0
9,0.023802782541917034,0.014631091849738148,0.04210261501197841,0.010621132799837856,0.01423605773062585,0.006383427895921432,0.024189180128009715,0.006017933868709281,0.022908559765003104,0.016974691824072637,0.034764016597627206,0.025846336503241345,0.006394204245922252,0.018073766342693663,0.056816107542381304,0.0
10,0.02276704769641313,0.014248482526988357,0.042525358158856684,0.010933532530666833,0.014442449623603814,0.006163256289933363,0.026515349066041416,0.006192208817125101,0.021085898571973773,0.017561820589625323,0.03275032295236599,0.025279373277478555,0.006013779751061825,0.018317906698204607,0.055379806697198004,0.0
11,0.0238959789580628,0.01457353725119771,0.03976459120010343,0.011078852796297067,0.01429291133948147,0.006174898641407275,0.026578232965927238,0.005851928605706508,0.020496121962940678,0.017705299240402556,0.03180326755627806,0.02516280772253308,0.006171952216425783,0.01803013044150808,0.05588456754906124,0.0
