t,x,y,evt_pred
1169511758627259,917.1548652648926,541.2962150573729,0
1169511758659732,926.245822906494,569.4360423088074,2
1169511758692213,915.1010513305664,535.6305849552156,2
1169511758724740,921.328010559082,554.1712045669557,2
1169511758756912,926.5230560302734,540.3997886180879,2
1169511758789210,907.0616912841797,543.9160037040709,2
1169511758821694,919.1642761230468,537.8276360034944,2
1169511758854083,932.8671455383301,527.2683370113373,2
1169511758886541,933.9240074157716,539.6912670135498,2
1169511758919109,922.056999206543,561.7627787590027,2
1169511758951478,916.1773681640624,545.8962142467499,2
1169511758984425,926.3135719299316,517.3173952102661,2
1169511759017727,941.114101409912,518.1838238239288,2
1169511759050317,988.0618858337402,251.6808557510376,2
1169511759082393,989.9066734313964,262.0260500907898,2
1169511759114974,995.5637741088867,243.65054726600647,2
1169511759147381,1011.0024261474608,244.31140065193176,2
1169511759179487,1006.5264701843263,245.72068691253662,2
1169511759211305,1009.2055892944336,193.63635063171387,2
1169511759243149,1031.0563087463381,188.886137008667,2
1169511759274953,1018.703556060791,209.5893359184265,2
1169511759306903,1012.5248908996582,179.32661533355713,2
1169511759338585,1004.8382377624513,192.56125688552856,2
1169511759369958,1029.246826171875,180.01566410064697,2
1169511759401318,1032.2443199157717,177.29239583015442,2
1169511759432592,1025.4587745666504,179.35989618301392,2
1169511759463510,1013.4535789489746,180.46975135803225,2
1169511759494125,1027.682647705078,196.0704231262207,2
1169511759524448,1026.2326240539549,191.05830788612369,2
1169511759554831,1025.2254867553709,177.41068124771118,2
1169511759585142,1025.2130699157717,200.573605298996,2
1169511759615105,1029.3243598937986,195.7736313343048,2
1169511759645306,1022.6359748840332,188.6360800266266,2
1169511759675334,1024.8492050170896,193.81089806556702,2
1169511759705340,1036.2678909301758,201.69256925582886,2
1169511759735916,1033.5070037841797,183.90128374099731,2
1169511759765882,1039.7074127197266,192.42806911468503,2
1169511759796097,1036.8380355834959,186.0867154598236,2
1169511759826202,1024.4964408874514,161.85117602348328,2
1169511759857125,1045.3246879577637,187.71239161491403,2
1169511759887921,1035.9067153930664,187.98108458518985,2
1169511759918333,1006.2729263305664,198.68995428085327,2
1169511759948366,1022.6150321960448,176.48087739944458,2
1169511759978344,1017.2003746032716,191.9491016864777,2
1169511760008269,965.0301361083984,325.6049609184265,2
1169511760038364,912.0576667785643,844.1966843605043,2
1169511760068569,907.8245544433594,943.360161781311,2
1169511760100420,923.148078918457,948.1756496429443,2
1169511760130956,918.9276123046876,953.4797286987304,2
1169511760161985,913.2372093200684,951.0060024261476,2
1169511760192088,913.2853889465332,966.3169956207277,2
1169511760221848,915.7681274414062,980.8482384681703,2
1169511760252124,903.7041091918944,946.7548727989197,2
1169511760282152,894.437255859375,887.8631544113159,2
1169511760312963,878.5606384277344,887.8530478477478,2
1169511760344673,901.1803436279297,903.7099885940552,2
1169511760376717,875.9374237060547,876.6232395172119,2
1169511760410105,896.1118125915527,876.4395833015442,2
1169511760441536,889.0744972229004,867.7345490455627,2
1169511760472795,978.204288482666,889.783787727356,2
1169511760503253,975.1193046569824,836.691563129425,2
1169511760533951,970.8512878417968,825.957362651825,2
1169511760564326,982.5363349914552,807.1946239471436,2
1169511760594141,970.642547607422,835.1092100143433,2
1169511760623671,948.8768577575684,775.4119920730591,2
1169511760653288,981.7999076843263,803.099148273468,2
1169511760683001,988.7013244628906,841.3038897514343,2
1169511760712501,975.3729629516603,820.4112410545349,2
1169511760742144,926.8802833557128,841.5823030471802,2
1169511760771843,469.13835525512695,738.226854801178,2
1169511760801421,366.00271224975586,748.3608412742615,2
1169511760831341,361.9662666320801,720.5388236045837,2
1169511760861209,388.4343910217285,750.0937628746033,2
1169511760891143,377.3185157775879,722.1080446243286,2
1169511760921104,392.8835678100586,742.834095954895,2
1169511760951085,375.82609176635737,742.8648662567139,2
1169511760981122,395.6904602050781,746.7562794685364,2
1169511761011109,347.78371810913086,539.7158575057983,2
1169511761041097,377.7069282531738,339.1340124607086,2
1169511761071127,365.174560546875,300.85649728775024,2
1169511761101146,378.81168365478516,310.6531047821045,2
1169511761130161,373.1243133544922,300.09058713912964,2
1169511761158464,379.3806838989258,308.01696538925165,2
1169511761188312,383.34354400634766,308.92024755477905,2
1169511761218220,388.3201789855957,308.0611574649812,2
1169511761248123,387.2406578063965,298.17034006118774,2
1169511761278096,392.8480339050293,312.875679731369,2
1169511761308346,383.06974411010737,290.94913601875305,2
1169511761338285,385.7754135131836,306.1435496807098,2
1169511761368110,385.111026763916,308.6220395565033,2
1169511761398115,381.6301918029785,307.0650494098664,2
1169511761427992,372.9981994628906,245.7197856903076,2
1169511761457813,376.6613960266113,244.29286122322083,2
1169511761487680,385.66434860229487,264.11958932876587,2
1169511761517685,371.2357521057129,236.51312470436096,2
1169511761547597,359.03154373168945,240.59920191764832,2
1169511761577404,361.39921188354487,240.04961729049683,2
1169511761607179,370.0534057617188,236.48444652557373,2
1169511761637089,378.0055618286133,257.7762401103973,2
1169511761666825,368.75038146972656,296.2064802646637,2
1169511761696780,357.9503631591797,328.73316764831543,2
1169511761806895,312.56864547729487,389.26475644111633,2
1169511761867254,372.67833709716797,260.9079873561859,2
1169511761892975,375.3419494628906,265.79489707946783,2
