t,x,y,evt_pred
1167676797485069,275.53890228271484,554.7405600547789,0
1167676797516409,240.1264190673828,581.4271020889282,2
1167676797546641,247.9146957397461,565.9342551231383,2
1167676797577966,265.8627510070801,544.0809679031372,2
1167676797609909,266.2603759765625,550.8767306804657,2
1167676797641351,254.55982208251962,543.0770063400269,2
1167676797672966,261.15922927856445,537.1490883827211,2
1167676797704304,256.49707794189453,538.2645761966705,2
1167676797736172,259.6319007873535,554.3265450000763,2
1167676797768140,246.22943878173828,527.9551410675049,2
1167676797798920,231.7255401611328,536.3667631149292,2
1167676797830714,252.55172729492188,543.1151473522186,2
1167676797864611,247.5191879272461,665.2540302276611,2
1167676797895688,259.209041595459,569.4928598403932,2
1167676797928604,259.6124458312988,533.7234783172606,2
1167676797959276,239.4768524169922,533.3402013778687,2
1167676797990696,242.26274490356445,582.6884269714354,2
1167676798022129,257.2458648681641,631.8017554283143,2
1167676798054213,203.43563079833984,771.4074516296388,2
1167676798085133,265.3516006469726,626.174201965332,2
1167676798115131,290.8611106872558,615.7177710533143,2
1167676798146394,251.0626220703125,714.3913054466248,2
1167676798176158,244.8458480834961,634.3023252487183,2
1167676798287428,294.9102020263672,545.5024528503418,2
1167676799216086,431.98741912841797,334.4500470161438,2
1167676799242289,454.99393463134766,377.00077176094055,2
1167676799539448,275.432243347168,320.02485871314997,2
1167676799597504,278.804874420166,327.18117475509644,2
1167676799629476,264.8394203186035,316.25469207763666,2
1167676799851587,279.5929145812988,325.40673255920416,2
1167676799886422,273.42792510986334,429.7877073287964,2
1167676799916688,262.9978370666504,433.286155462265,2
1167676799946604,243.32281112670898,474.88197088241577,2
1167676800007240,252.1645164489746,494.13532853126526,2
1167676800035515,249.17984008789062,480.42316794395447,2
1167676800065992,241.95003509521484,471.03983521461487,2
1167676800095919,240.9082221984864,500.7564795017242,2
1167676800126211,252.24891662597656,489.3995988368988,2
1167676800156670,240.15417098999023,489.1144907474518,2
1167676800187262,259.12572860717773,479.4829034805298,2
1167676800250415,246.1449241638184,469.4825875759125,2
1167676800279150,239.18834686279297,520.0068116188048,2
1167676800310834,262.9501152038574,503.8609004020691,2
1167676800340928,240.72717666625977,487.7213299274445,2
1167676800371002,259.88481521606445,491.3078081607818,2
1167676800400822,250.80387115478518,492.09795475006104,2
1167676800431354,239.57841873168945,536.0523653030397,2
1167676800461874,247.3653221130371,512.5375461578368,2
1167676800492078,259.71263885498047,532.2145104408263,2
1167676800522092,249.92376327514648,479.56343412399286,2
1167676800552133,252.9043197631836,522.9757916927339,2
1167676800582638,262.764949798584,580.0071620941163,2
1167676800642252,497.2652053833008,858.279287815094,2
1167676800917605,381.08850479125977,854.5198392868042,2
1167676800968975,360.74954986572266,771.4940333366394,2
1167676801028268,357.078800201416,749.2286944389343,2
1167676801087304,386.59208297729487,659.8784327507019,2
1167676801116966,376.4286422729492,684.6481394767761,2
1167676801146954,380.24959564208984,658.6720824241637,2
1167676801176842,272.93439865112305,735.1877164840698,2
1167676801207350,269.10858154296875,655.8949017524718,2
1167676801238927,256.05424880981445,693.7307858467102,2
1167676801269228,281.60043716430664,650.1411771774293,2
1167676801299440,272.0508003234863,655.5064105987549,2
1167676801330211,276.4780616760254,638.6401653289795,2
1167676801360857,265.13708114624023,622.8303456306458,2
1167676801391834,277.0751571655273,655.2241992950441,2
1167676801421820,263.76745223999023,685.1181268692018,2
1167676801452421,290.07844924926763,645.7584691047667,2
1167676801483100,284.8839187622071,660.8071422576903,2
1167676801513360,283.2807159423828,643.3502745628358,2
1167676801543961,287.5336265563965,680.8082246780398,2
1167676801574743,271.9926643371582,694.2375946044922,2
1167676801605106,274.26403045654297,645.4408526420592,2
1167676801635229,282.46252059936523,686.7700028419495,2
1167676801665500,246.60211563110352,762.1613621711731,2
1167676801696088,270.8340072631836,675.9687900543212,2
1167676801726095,267.90637969970703,769.0756034851074,2
1167676801756308,294.77069854736334,689.1586923599243,2
1167676801786330,259.4164085388184,715.2022123336792,2
1167676801817659,279.72211837768555,675.3295660018921,2
1167676801847597,297.33720779418945,701.5770840644836,2
1167676801909284,267.76653289794916,651.4098405838013,2
1167676801939172,283.85480880737305,757.269914150238,2
1167676801969123,287.6979637145996,809.1239237785339,2
1167676801998632,285.56495666503906,782.9183125495911,2
1167676802027874,271.9139862060547,634.0963315963745,2
1167676802116952,264.7448921203613,763.7335443496704,2
1167676802145357,276.68685913085943,761.7206001281737,2
1167676802175487,281.7866325378418,665.3595376014711,2
1167676802236974,268.9869880676269,547.7600789070128,2
1167676802268322,260.183334350586,660.2060914039613,2
1167676802299082,258.84906768798834,793.2686567306519,2
1167676802329394,266.6533088684082,641.1039137840271,2
1167676802359412,252.558708190918,639.119873046875,2
1167676802395571,271.9500923156738,718.0326294898987,2
1167676802461549,265.72101593017584,781.9030213356018,2
1167676802636828,274.97339248657227,761.1282396316527,2
1167676802802404,265.7630157470703,557.0323038101196,2
1167676802831794,245.53003311157227,682.9212045669557,2
1167676802866675,266.46780014038086,863.4095597267151,2
1167676802897397,306.9917869567871,712.6916646957397,2
1167676802957065,298.7290954589844,737.3249650001526,2
1167676802983578,284.0959930419922,761.4779782295227,2
1167676803013345,263.856201171875,744.578709602356,2
1167676803044435,231.54918670654297,796.7079138755797,2
1167676803075238,265.02275466918945,756.7676758766174,2
1167676803105634,256.7440414428711,741.3633418083191,2
1167676803135994,286.89172744750977,792.3275876045227,2
1167676803165941,259.05866622924805,693.5821485519409,2
1167676803195987,276.1897850036621,674.4230651855469,2
1167676803255888,300.00768661499023,828.0338835716248,2
1167676803286369,304.6661758422852,740.1056861877441,2
1167676803316200,288.5661125183105,823.6105561256409,2
1167676803346149,287.00101852416987,741.9606590270996,2
1167676803376064,239.29071426391602,633.111617565155,2
1167676803405958,344.57653045654297,720.7160830497743,2
1167676803436127,276.3077163696289,726.6110420227051,2
1167676803496207,307.66916275024414,781.17830991745,2
1167676803525808,265.4140853881836,709.3894577026367,2
1167676803556881,326.1354637145996,713.918936252594,3
