t,x,y,evt_pred
1167614456717808,638.2149887084961,299.65311646461487,0
1167614456743697,639.808464050293,291.4373815059662,2
1167614456772634,664.3423080444336,322.58024215698237,2
1167614456800558,652.2250747680664,302.97315478324884,2
1167614456829264,634.8176956176758,282.6072061061858,2
1167614456857901,646.7978286743164,307.677663564682,2
1167614456888595,641.4970397949219,288.03832530975336,2
1167614456917372,656.0786437988281,307.76933073997503,2
1167614456945835,642.5129318237305,318.34237337112427,2
1167614456974244,657.8785705566406,327.7776229381561,2
1167614457002597,657.5780487060548,329.57031488418585,2
1167614457030995,653.0529403686522,290.2887094020844,2
1167614457059398,659.6762084960938,325.14933705329895,2
1167614457088894,655.687370300293,317.63909816741943,2
1167614457118449,654.0332412719728,337.3572289943695,2
1167614457147953,686.7584228515625,488.676335811615,2
1167614457177599,676.6871643066406,518.1541240215302,2
1167614457205921,667.4286651611327,519.2025351524353,2
1167614457234241,672.2175598144531,534.2257809638977,2
1167614457262460,676.2918853759767,558.6630010604858,2
1167614457290628,653.2218551635742,532.1455669403076,2
1167614457318923,656.2014389038086,550.3725290298462,2
1167614457347151,664.9496459960938,529.0272736549376,2
1167614457375391,692.0906829833984,546.8906569480896,2
1167614457403654,666.5891265869142,539.1104698181151,2
1167614457431973,664.7407913208008,537.996301651001,2
1167614457460800,676.6687393188478,548.2387566566466,2
1167614457489451,659.1843414306642,562.9203748703003,2
1167614457517814,689.0324783325195,556.6585540771483,2
1167614457546775,672.5589370727539,556.4204382896423,2
1167614457575088,660.8588409423827,557.2702264785767,2
1167614457603517,656.079216003418,569.7044539451599,2
1167614457632002,664.5510482788086,568.1990909576416,2
1167614457660210,656.1181259155272,536.5879487991333,2
1167614457688462,663.1294631958008,537.5411200523376,2
1167614457717181,661.3066482543945,535.7051372528076,2
1167614457745823,664.0554046630858,571.6834092140198,2
1167614457774465,661.6975784301758,551.6849017143251,2
1167614457803135,650.6248474121094,552.2205495834352,2
1167614457831431,662.1942520141603,555.8872365951538,2
1167614457860244,687.3254776000978,580.2264165878296,2
1167614457888478,671.8670272827147,572.6679944992064,2
1167614457916837,629.9398803710938,412.2891581058502,2
1167614457945132,631.3113403320312,278.3152318000793,2
1167614457973648,626.6787719726562,269.15926456451416,2
1167614458002403,625.3900527954103,263.71427297592163,2
1167614458031314,630.4928588867188,260.15441298484797,2
1167614458060217,626.7548751831055,245.94448804855347,2
1167614458089136,637.208251953125,252.64945268630981,2
1167614458117962,625.3454208374022,241.1558759212494,2
1167614458146630,626.1097717285156,229.208083152771,2
1167614458176116,634.8834991455077,265.3881645202637,2
1167614458206353,618.7655258178711,247.74580597877502,2
1167614458236824,635.5542373657228,231.70804142951957,2
1167614458265578,646.9075775146483,253.29739928245544,2
1167614458294355,636.9921875,250.58655500411987,2
1167614458323330,634.6787643432617,252.65106201171875,2
1167614458352290,642.767219543457,251.8155324459076,2
1167614458381351,647.4822998046875,252.67417192459104,2
1167614458411633,628.6528778076173,229.94431734085083,2
1167614458441095,642.1224594116211,260.48471093177795,2
1167614458470105,641.024055480957,252.11724877357483,2
1167614458499079,647.0322036743164,247.0871734619141,2
1167614458528615,644.7914505004883,251.21718525886536,2
1167614458558253,650.3972244262695,263.4543347358704,2
1167614458587103,648.2917404174805,274.97243762016296,2
1167614458616682,640.5039215087892,258.6126148700714,2
1167614458646094,637.6382064819336,254.11966800689697,2
1167614458675116,642.6088333129883,247.9543423652649,2
1167614458703979,622.724723815918,227.84595012664798,2
1167614458733092,631.6059112548827,239.47293996810916,2
1167614458762096,642.2722625732423,248.28515529632568,2
1167614458790992,624.9207305908202,255.7790756225586,2
1167614458820530,643.3735275268555,251.59096717834475,2
1167614458850124,639.7356796264647,259.14440035820013,2
1167614458879208,639.2147445678711,246.88867926597595,2
1167614458908984,637.4790191650392,252.66931176185608,2
1167614458938268,644.0699005126952,263.0190765857696,2
1167614458967874,648.2734298706055,254.9273884296417,2
1167614458997281,640.3114318847656,250.4229187965393,2
1167614459026262,625.5398559570312,236.5464460849762,2
1167614459055200,629.9308395385742,255.3519606590271,2
1167614459084131,629.4860076904298,240.19343495368958,2
1167614459113652,638.2323837280272,268.88014316558844,2
1167614459143386,630.8462524414062,251.43853187561038,2
1167614459172965,628.239631652832,257.84889340400696,2
1167614459202616,638.1836318969728,256.9902217388153,2
1167614459232246,638.3438491821289,248.93516182899475,2
1167614459261960,635.2112579345702,238.2350468635559,2
1167614459290941,631.466064453125,238.6712384223938,2
1167614459320742,636.0068511962892,251.7994070053101,2
1167614459350581,634.9236679077147,246.85243725776672,2
1167614459380136,629.1072082519531,258.0819237232208,2
1167614459409767,630.7209396362305,112.19850659370422,2
1167614459439738,619.5267868041992,128.6524426937103,2
1167614459469566,622.7268981933594,126.46260142326356,2
1167614459499345,611.4648818969728,119.829283952713,2
1167614459528919,619.8542022705077,112.14649319648744,2
1167614459558871,624.9058532714844,124.43156838417052,2
1167614459588669,622.8430557250978,111.57025814056395,2
1167614459618480,621.2718963623048,114.94156956672668,2
1167614459648348,627.917366027832,114.42075967788695,2
1167614459678210,607.2174072265625,90.14205813407898,2
1167614459708086,627.3328018188478,124.712975025177,2
1167614459737780,627.8189468383789,144.32955741882324,2
1167614459767475,640.7629013061522,176.00581288337708,2
1167614459797257,654.4016265869142,187.77870416641238,2
1167614459826811,644.2535781860353,187.62507796287537,2
1167614459856801,647.952766418457,175.4445767402649,2
1167614459886421,653.7311172485353,194.2879104614257,2
1167614459915629,647.5654983520508,167.3794424533844,2
1167614459945372,653.9533615112305,174.8488688468933,2
1167614459975084,653.9313888549805,175.3680694103241,2
1167614460004595,647.769660949707,183.0016791820526,2
1167614460034301,653.3681106567383,169.82500553131104,2
1167614460063999,634.2049789428711,185.035480260849,2
1167614460093681,643.9845275878906,190.90771555900574,2
1167614460123528,646.69677734375,198.3262550830841,2
1167614460153331,653.7351226806642,176.79740786552432,2
1167614460183366,639.4137573242188,182.90904641151428,2
1167614460213376,646.6990661621094,182.1406900882721,2
1167614460243133,638.9216613769531,178.82419228553772,2
1167614460501084,638.6795043945312,331.90757036209106,2
1167614460565612,639.2031860351562,213.5858142375946,2
1167614460590722,623.3539199829103,207.5299870967865,2
1167614460621273,623.4270477294923,201.2999987602234,2
1167614460650468,648.4098434448242,227.08621978759768,2
1167614460680166,628.0834197998048,222.44714617729187,2
1167614460709799,625.3084564208983,216.80131077766416,2
1167614460739764,618.590087890625,193.92082333564758,2
1167614460769474,614.6566390991211,207.7167654037476,2
1167614460800139,617.6909255981445,210.8116590976715,2
1167614460829668,625.9607696533202,226.08521938323966,2
1167614460859596,637.1034240722656,215.50654411315918,2
1167614460889471,630.4352951049805,201.61372065544128,2
1167614460919335,633.5559844970702,234.21443700790402,2
1167614460973370,630.3028869628906,206.6289579868317,2
1167614461037828,693.3830642700195,241.44520044326785,2
1167614461131844,677.6444625854492,244.6635615825653,2
1167614461243990,709.1842651367188,255.2712368965149,2
1167614461308270,706.883659362793,261.416574716568,2
1167614461350839,694.6424865722656,250.2469551563263,2
1167614461380677,706.2348937988281,243.3620035648346,2
1167614461410253,702.5203704833984,262.58777737617487,2
1167614461439791,696.1202621459961,250.2566432952881,2
1167614461469660,699.1978073120117,238.39330792427063,2
1167614461499598,684.9365234375,246.41753315925598,2
1167614461529253,688.6232376098633,238.42652440071103,2
1167614461558951,694.2313003540039,234.45844292640686,2
1167614461588895,686.5682220458983,241.65550708770752,2
1167614461618866,691.0908126831055,250.868798494339,2
1167614461648598,676.6964340209961,241.14448189735413,2
1167614461678358,690.2560806274414,237.6160359382629,2
1167614461708248,697.1640777587891,238.33820462226868,2
1167614461738144,700.3962326049805,241.26585721969604,2
1167614461767802,702.2370147705078,251.70593738555908,2
1167614461797797,696.6162490844728,248.42004895210263,2
1167614461827793,692.8602981567383,258.7543320655824,2
1167614461858082,689.3117141723633,241.3809239864349,2
1167614461887910,700.7293701171875,228.995201587677,2
1167614461917912,691.3858413696289,243.8943362236023,2
1167614461947509,703.8168716430664,241.49228930473328,2
1167614461977214,701.1167526245117,237.3054039478302,2
1167614462006915,695.0432586669922,224.83458042144773,2
1167614462036139,698.541259765625,216.20972275733948,2
1167614462065627,696.6535568237305,222.0439457893372,2
1167614462095100,697.8005981445312,229.13666129112244,2
1167614462124090,704.1994476318359,240.8191728591919,2
1167614462154409,713.4881591796875,234.47080254554749,2
1167614462184135,698.6854553222656,234.54154849052432,2
1167614462214349,703.0588150024414,230.8447027206421,2
1167614462244123,681.4634704589844,227.51162886619568,2
1167614462273092,705.94970703125,239.477059841156,2
1167614462301942,688.0973815917969,220.64875721931458,2
1167614462330925,672.1087265014647,227.55005955696103,2
