t,x,y,evt_pred
1169507661443695,975.7917594909668,407.0910608768463,0
1169507661473997,988.8273811340332,339.8397016525269,2
1169507661503688,972.5197219848633,396.3123142719269,2
1169507661533521,979.9964904785156,372.3520660400391,2
1169507661563890,970.7490348815918,394.15958404541016,2
1169507661593554,834.3674468994141,315.554176568985,2
1169507661623378,783.4185791015625,187.1827304363251,2
1169507661653078,756.2301063537598,176.30684494972232,2
1169507661682797,748.9697456359862,174.31330919265747,2
1169507661712645,749.4003868103027,155.21286964416504,2
1169507661742337,748.172721862793,231.1939823627472,2
1169507661771913,764.6194267272949,187.11539626121518,2
1169507661803460,754.244556427002,166.384516954422,2
1169507661833754,764.4122314453125,169.02657866477966,2
1169507661863362,823.2966613769531,316.8012750148773,2
1169507661893099,829.1464805603027,378.7355840206146,2
1169507661924301,805.1866722106934,377.0134770870209,2
1169507661954741,828.0368614196777,397.27256655693054,2
1169507661984206,817.5664329528809,396.3660335540772,2
1169507662013572,820.2937316894531,387.3787558078766,2
1169507662043312,840.7847785949707,361.61815524101263,2
1169507662072875,834.4655799865723,395.4624938964844,2
1169507662102584,812.2516250610353,397.2811603546143,2
1169507662132370,797.3001480102539,361.0568869113922,2
1169507662162344,824.8143768310547,356.7225551605225,2
1169507662191937,837.8216171264647,384.5545506477356,2
1169507662221699,848.7503242492676,401.2175703048706,2
1169507662251584,829.053783416748,354.20421838760376,2
1169507662281189,988.3358001708984,285.60949087142944,2
1169507662310803,1023.3913421630859,307.1019351482392,2
1169507662340451,1018.7380599975586,320.70633530616766,2
1169507662369152,1018.2987213134766,328.0759835243225,2
1169507662397941,1028.3620834350586,314.1832566261292,2
1169507662427423,1035.109748840332,345.2374756336212,2
1169507662456309,1018.3942794799804,331.05729103088385,2
1169507662484691,987.2798538208008,290.4902851581573,2
1169507662513439,1032.8607559204104,323.8507962226868,2
1169507662541767,1029.817886352539,288.90432715415955,2
1169507662570302,1028.8582992553709,318.4687292575836,2
1169507662598879,1036.4620971679688,326.43099546432495,2
1169507662627341,1037.083625793457,396.9424617290497,2
1169507662655686,1017.6716995239258,373.3988356590271,2
1169507662684303,1003.4042358398438,409.2074203491211,2
1169507662712534,993.9277267456056,418.71270775794983,2
1169507662740940,994.086456298828,380.0627303123474,2
1169507662769138,1005.2887344360353,398.8546621799469,2
1169507662797182,979.9024200439453,367.5075781345368,2
1169507662825096,998.3517837524414,381.626318693161,2
1169507662853360,997.265739440918,387.7637386322022,2
1169507662881472,1021.4038467407228,395.64821004867554,2
1169507662909709,1003.699951171875,409.8982393741608,2
1169507662937922,1001.971435546875,387.6219248771668,2
1169507662966135,1020.8152770996094,369.0083384513855,2
1169507662994261,1013.997917175293,382.32215881347656,2
1169507663022436,1002.8418731689453,352.84659147262573,2
1169507663050664,999.4805717468263,367.0401012897492,2
1169507663078859,988.253231048584,378.75624775886536,2
1169507663107160,1019.5534515380859,404.2135226726532,2
1169507663136115,1003.5123825073242,383.214111328125,2
1169507663164305,1006.8499374389647,403.37886214256287,2
1169507663192940,995.5159378051758,385.03332495689386,2
1169507663221293,994.4685745239258,373.81252884864807,2
1169507663278135,1052.9267120361328,363.84839057922363,2
1169507663303161,1065.681037902832,340.1893436908722,2
1169507663328238,1067.6117706298828,332.1581017971039,2
1169507663356481,1073.1229019165041,314.973886013031,2
1169507663384708,1078.4717559814453,316.76947474479675,2
1169507663412927,1093.3560562133791,330.32591700553894,2
1169507663441195,1087.3681640625,341.3877761363983,2
1169507663469342,1065.369873046875,305.7970297336578,2
1169507663497455,1077.4943161010742,333.1566882133484,2
1169507663526000,1057.3504257202146,336.54183983802795,2
1169507663554204,1077.3981857299802,318.40319752693176,2
1169507663582250,873.7549209594728,282.0010936260224,2
1169507663610316,668.7506675720215,196.12784385681152,2
1169507663638199,656.2430763244629,215.5515968799591,2
1169507663666426,669.9625968933104,225.45348644256592,2
1169507663695193,661.219482421875,232.0988416671753,2
1169507663723467,666.7486381530763,226.6386902332306,2
1169507663752143,668.6041259765625,253.37483167648315,2
1169507663780626,685.7357025146483,226.17958188056943,2
1169507663810844,676.2236022949219,266.15435600280756,2
1169507663839956,665.7538604736327,166.7122721672058,2
1169507663869323,684.774284362793,246.54919981956482,2
1169507663898135,665.6036567687987,89.25067663192749,2
1169507663928279,676.6236877441406,85.263991355896,2
1169507663957188,692.5496864318848,96.43937230110168,2
1169507663986963,679.9263381958008,77.902067899704,2
1169507664015672,677.9782104492188,84.94489431381227,2
1169507664044204,655.4639053344728,91.95202589035034,2
1169507664072374,663.475227355957,91.38979196548462,2
1169507664100923,706.6728401184082,76.67672753334045,2
1169507664129722,664.6102523803711,106.88737034797668,2
1169507664158139,682.6315498352052,91.65883898735045,2
1169507664186598,671.5919494628906,63.522294759750366,2
1169507664214890,676.4701080322267,89.27172660827637,2
1169507664243077,699.8093032836914,108.40972781181335,2
1169507664271370,666.6599464416504,77.4856388568878,2
1169507664299650,384.5555877685547,303.49601626396185,2
1169507664327988,382.0259284973145,304.58140969276434,2
1169507664356191,386.4225769042969,288.1925225257873,2
1169507664384637,407.75671005249023,294.77060794830317,2
1169507664413057,388.17638397216797,289.0622985363006,2
1169507664441540,399.77657318115234,283.3872699737549,2
1169507664470280,399.9031448364258,303.92342090606684,2
1169507664498986,400.4732322692871,313.8233470916748,2
1169507664527279,371.35963439941406,275.55004835128784,2
1169507664555907,407.5822448730469,292.6190686225891,2
1169507664584246,389.5603752136231,254.71134424209598,2
1169507664612739,408.01042556762695,273.5683250427246,2
1169507664641390,377.7873802185058,274.3488478660584,2
1169507664670122,379.7574234008789,262.5376868247986,2
1169507664698520,400.3871154785156,269.93713974952703,2
1169507664727203,388.96705627441406,295.4670917987824,2
1169507664755798,391.21747970581055,273.02279591560364,2
1169507664784741,388.8448333740234,282.930189371109,2
1169507664814176,416.68081283569336,274.93049025535583,2
1169507664843057,386.0690689086914,292.17907905578613,2
1169507664872075,400.63505172729487,250.60875535011292,2
1169507664901366,381.7323303222656,312.1256053447724,2
1169507664930225,1043.7213134765623,514.3658924102783,2
1169507664959061,1304.897346496582,599.7719550132751,2
1169507664988814,1330.2339935302734,612.9566431045532,2
1169507665018397,1333.4137344360354,593.1479394435883,2
1169507665046943,1304.7176742553709,614.2898082733153,2
1169507665075235,1325.6771850585938,567.1982431411742,2
1169507665103998,1345.8301162719729,586.6783547401427,2
1169507665132973,1313.1128311157229,597.11341381073,2
1169507665161814,1325.749397277832,590.0734519958496,2
1169507665190644,1383.2160186767578,484.95901107788086,2
1169507665219223,1379.092025756836,451.80487990379333,2
1169507665247745,1374.9484634399414,444.0664386749268,2
1169507665276190,1355.1594543457034,387.6104664802551,2
1169507665305119,1382.5788116455078,447.8548872470856,2
1169507665333811,1387.3775482177734,466.3852393627167,2
1169507665362386,1355.1229476928709,489.74276304245,2
1169507665390665,1365.3707885742188,449.7326481342316,2
1169507665419143,1339.0071487426758,465.4241180419922,2
1169507665448088,1228.3839797973633,566.2562727928163,2
1169507665476467,845.3836441040039,929.469301700592,2
1169507665504749,825.475959777832,858.2702994346619,2
1169507665561342,842.8262901306152,922.5539016723633,2
1169507665586390,859.5177841186522,973.0518937110901,2
1169507665611506,860.2943801879883,925.6784391403198,2
1169507665639768,844.6632957458496,928.1289911270143,2
1169507665667995,859.8657989501953,970.8932733535768,2
1169507665696437,867.821216583252,955.013029575348,2
1169507665724936,824.6955871582031,918.8782024383544,2
1169507665753210,819.074592590332,970.0182509422302,2
1169507665781418,852.9388046264647,926.7656350135803,2
1169507665813004,834.51416015625,890.2654910087585,2
1169507665842101,857.2056770324707,935.1932859420776,2
1169507665870380,829.577465057373,944.812159538269,2
1169507665898955,766.1569404602051,782.733199596405,2
1169507665929182,715.4435920715332,723.3069920539856,2
1169507665957950,720.9904289245605,791.1369681358337,2
1169507665986504,710.595531463623,731.9475889205933,2
1169507666014830,726.6482734680176,741.903326511383,2
1169507666043156,717.220458984375,773.2882618904114,2
1169507666071423,690.9185600280763,746.2846827507019,2
1169507666099770,1064.8799514770508,739.1517019271851,2
1169507666128482,1134.6160125732422,765.4217505455017,2
1169507666158164,1095.3284454345703,786.9908952713013,2
1169507666186680,1115.4047012329104,669.6038675308228,2
1169507666215158,1113.2782745361328,727.8812098503113,2
1169507666243326,1122.6478958129885,756.5766406059265,2
1169507666271547,1107.2053527832034,722.8858637809752,2
1169507666299851,1118.2090759277344,757.9104495048523,2
1169507666328145,1125.6531143188477,756.1072969436646,2
1169507666356385,1141.127700805664,777.4881505966188,2
1169507666384735,1111.3705444335938,758.7306261062622,2
1169507666412951,1116.533432006836,767.992422580719,2
1169507666441133,1113.0308532714844,743.4301900863647,2
1169507666469265,1102.2842788696291,748.6356496810913,2
1169507666497531,1115.1612854003906,730.1566672325134,2
1169507666525871,909.9268341064453,595.9982800483704,2
1169507666554756,553.1497764587401,384.8020005226135,2
1169507666582999,531.4421653747559,370.9076642990112,2
1169507666611404,542.6608657836914,356.41900420188904,2
