t,x,y,evt_pred
1169512366014329,481.1687469482422,421.2781739234924,0
1169512366045853,487.3876953125,429.03138875961304,2
1169512366077628,485.0119590759277,416.0284578800202,2
1169512366109589,480.2606010437012,435.06272196769714,2
1169512366141275,474.7120475769043,415.2633845806122,2
1169512366173372,478.93503189086914,423.7812864780426,2
1169512366205240,485.853328704834,416.4427626132965,2
1169512366237334,471.5176582336426,432.0098960399628,2
1169512366269865,484.3998718261719,414.08809423446655,2
1169512366302088,477.7097129821777,428.5315001010895,2
1169512366334204,479.5164489746094,425.9660744667053,2
1169512366366732,481.2213897705078,441.0828220844269,2
1169512366398391,578.7691116333008,470.2617907524109,2
1169512366431953,583.1031036376952,465.5143451690674,2
1169512366464483,570.5926513671875,454.2726922035217,2
1169512366496127,578.8754272460938,458.428807258606,2
1169512366527617,572.2490692138673,441.7243313789368,2
1169512366558728,583.2343673706055,453.5606300830841,2
1169512366590354,583.6408615112305,440.26512384414673,2
1169512366621395,589.0925979614258,462.7655208110809,2
1169512366652813,592.7859497070312,468.5679757595062,2
1169512366683793,609.3383407592772,515.0076031684874,2
1169512366714831,615.3471755981445,495.2204644680023,2
1169512366745878,605.5696868896483,513.4955453872682,2
1169512366776640,613.9014434814452,510.0514602661133,2
1169512366807721,608.6114120483397,505.76537609100336,2
1169512366838402,623.7491989135742,528.4614992141724,2
1169512366869417,620.5843353271483,516.260302066803,2
1169512366900845,611.210823059082,518.2939100265503,2
1169512366931986,617.8018188476562,518.7351226806642,2
1169512366963068,605.8428573608397,512.3130774497987,2
1169512366994438,603.8523864746094,510.75241804122925,2
1169512367026112,618.033447265625,514.9976253509521,2
1169512367057258,645.1206970214844,540.7855844497682,2
1169512367089972,635.307731628418,559.0838074684143,2
1169512367121391,629.982795715332,548.9210462570189,2
1169512367153885,633.128662109375,554.3029522895813,2
1169512367185588,634.2259216308594,549.0850687026979,2
1169512367217101,643.9235305786133,541.6540408134459,2
1169512367248137,638.720703125,548.3165836334229,2
1169512367279152,632.7402496337892,541.3165974617003,2
1169512367310154,635.8610534667969,551.1831140518188,2
1169512367341171,648.0374526977539,564.6879935264587,2
1169512367719792,123.90268325805664,958.491144180298,2
1169512367749310,206.11452102661133,860.9012007713318,2
1169512367786092,202.0155906677246,840.6404376029968,2
1169512367815764,277.9080009460449,811.8785095214844,2
1169512367845459,241.79931640625,773.2722735404968,2
1169512367875370,276.8172645568848,776.5057301521301,2
1169512367905833,292.1552658081055,793.8290238380432,2
1169512367937182,274.3500328063965,734.9763798713684,2
1169512367967924,280.47101974487305,742.4596786499022,2
1169512367999147,283.7383651733398,727.7073788642882,2
1169512368030202,334.13053512573237,666.205849647522,2
1169512368061674,353.33303451538086,669.8580527305602,2
