t,x,y,evt_pred
1169509160687668,385.2803611755371,402.98004746437067,0
1169509160713668,512.1480751037599,437.5862085819245,2
1169509160742902,487.72592544555664,408.028951883316,2
1169509160769764,484.6086692810058,447.9397714138031,2
1169509160824174,612.4035263061522,496.0157930850983,2
1169509160851477,630.0515747070312,469.55713152885437,2
1169509160879067,638.2725524902344,499.46110129356384,2
1169509160906437,609.4400787353517,400.15053153038025,2
1169509160936295,618.5519790649414,449.27589774131775,2
1169509160964334,613.0472564697267,491.4044964313507,2
1169509160991860,664.9731063842772,559.1790151596068,2
1169509161019421,619.7355270385742,485.13890981674194,2
1169509161046817,610.8700180053711,407.6513397693634,2
1169509161074429,663.4033203125,467.1643543243408,2
1169509161101931,640.5635452270508,496.67471528053284,2
1169509161129443,682.4884033203125,547.0038568973541,2
1169509161157179,665.0725555419923,561.4025557041168,2
1169509161184687,696.4377212524414,570.2762472629547,2
1169509161212226,680.4171371459961,565.6757652759553,2
1169509161239337,664.5650100708008,483.6536312103272,2
1169509161266649,650.3380584716798,508.4304189682007,2
1169509161293675,675.4344940185548,484.16085839271545,2
1169509161321752,644.0607452392577,469.7103714942932,2
1169509161348687,662.9108810424805,555.7922542095183,2
1169509161375809,649.9640655517577,519.9418592453003,2
1169509161402579,671.547737121582,480.01729607582087,2
1169509161429410,678.4539031982423,545.3868389129639,2
1169509161456496,698.0646133422853,582.0399010181428,2
1169509161483723,615.8993530273438,523.0220115184784,2
1169509161537803,356.99113845825195,511.67932510375977,2
1169509161566174,350.5518341064453,466.0369253158569,2
1169509161621135,311.9421005249024,531.4345026016235,2
1169509161647777,339.4582176208496,468.6107194423676,2
1169509161674746,341.88133239746094,532.9564094543457,2
1169509161704611,328.8298606872558,520.1566076278687,2
1169509161731482,279.61145401000977,420.51255345344543,2
1169509161758543,349.8319435119629,499.7556722164154,2
1169509161785246,347.21548080444336,367.29740858078003,2
1169509161811494,326.6975402832031,429.4248688220978,2
1169509161838598,354.01710510253906,560.7389986515045,2
1169509161866128,326.4008522033692,490.5675506591797,2
1169509161893091,322.8729820251465,496.83207511901855,2
1169509161920368,347.17342376708984,422.5873279571533,2
1169509161973899,775.0533676147461,623.1791186332703,2
1169509162002809,763.8617324829103,583.8817739486693,2
1169509162030304,775.731315612793,578.245530128479,2
1169509162057226,791.3154220581055,600.7944965362549,2
1169509162084282,782.9706192016603,595.7096076011658,2
1169509162111378,752.5198364257812,588.8644385337831,2
1169509162138367,778.5922241210938,615.9432053565979,2
1169509162165377,780.4917144775391,603.4052729606627,2
1169509162192434,788.4491348266603,604.3928837776184,2
1169509162219372,785.0856018066406,550.0215351581573,2
1169509162245582,758.6099243164062,600.5070066452026,2
1169509162272782,787.6781463623047,611.9370794296265,2
1169509162300144,776.9181823730469,574.5137619972229,2
1169509162327376,778.2093048095703,578.2302093505858,2
1169509162354694,787.146110534668,616.6471242904662,2
1169509162382131,802.2644424438478,612.2285604476929,2
