,N29131F
N06691U,0.0
N06731X,0.011740345744836438
N06731Y,0.01712887304454741
N26151X,0.024109457015536684
N29121G,0.0
N29131B,0.018228033352200187
N29131C,0.0
N29141A,0.0
N29142H,0.017752552771344115
N29131F,0.0
