Type,Severity,StartTime(UTC),EndTime(UTC),TimeZone,LocationLat,LocationLng,AirportCode,County
Rain,Light,2016-11-20 6:56,2016-11-20 7:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2016-11-20 14:56,2016-11-20 15:12,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2016-11-20 18:09,2016-11-20 18:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Moderate,2016-11-20 18:56,2016-11-20 19:03,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2016-11-20 19:03,2016-11-20 20:36,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2016-11-20 21:56,2016-11-20 22:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2016-11-23 7:16,2016-11-23 8:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2016-11-26 12:46,2016-11-26 15:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2016-11-26 20:56,2016-11-26 21:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Fog,Moderate,2016-11-27 0:56,2016-11-27 1:11,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Moderate,2016-11-27 2:56,2016-11-27 3:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2016-11-27 3:56,2016-11-27 4:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2016-11-27 5:56,2016-11-27 7:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2016-11-27 11:19,2016-11-27 11:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2016-11-27 13:56,2016-11-27 14:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2016-11-30 20:49,2016-11-30 21:22,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2016-12-07 20:56,2016-12-08 0:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2016-12-08 2:56,2016-12-08 3:22,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2016-12-08 3:56,2016-12-08 6:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Moderate,2016-12-08 6:56,2016-12-08 11:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Heavy,2016-12-08 11:56,2016-12-08 12:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Moderate,2016-12-08 12:56,2016-12-08 14:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2016-12-08 14:56,2016-12-08 16:50,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2016-12-08 18:56,2016-12-08 19:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2016-12-08 20:11,2016-12-08 22:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2016-12-09 0:48,2016-12-09 0:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2016-12-09 1:56,2016-12-09 3:20,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2016-12-09 3:56,2016-12-09 4:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2016-12-09 10:56,2016-12-09 11:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
